objID,skyVersion,run,rerun,camcol,field,obj,mode,nChild,type,clean,probPSF,insideMask,flags,flags_u,flags_g,flags_r,flags_i,flags_z,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,petroR50_r,petroR90_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,mRrCc_r,mRrCcErr_r,mRrCcPsf_r,fracDeV_u,fracDeV_g,fracDeV_r,fracDeV_i,fracDeV_z,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,resolveStatus,thingId,balkanId,nObserve,nDetect,calibStatus_u,calibStatus_g,calibStatus_r,calibStatus_i,calibStatus_z,ra,dec,cx,cy,cz,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,htmID,fieldID,specObjID,size
1237648720138732503,2,756,301,1,150,983,1,0,3,1,0,0,281572485890376,9007199456101705,18014398710859081,4503874983460936,275884572744,201359433,25.43944,23.56122,22.33388,22.08316,21.2169,0.7489526,0.3483773,0.1408506,0.166619,0.3411173,25.62785,23.42412,22.44264,21.77644,20.5906,1.20524,0.6369109,0.3620742,0.3239438,0.4984162,0.6609896,1.118487,25.72846,23.52436,22.13256,21.85923,21.15034,0.7206413,0.4003232,0.1457752,0.1714386,0.3862783,25.53535,22.63181,22.13256,21.56955,20.839,0.8381212,0.2795163,0.1508221,0.1684273,0.4116964,5.124547,1.306211,3.309878,0,0,1,1,1,1.622604,1.471961,1.199272,1.1364,1.403183,257,74994276,383672,2,2,24577,24577,24577,24577,24577,138.328784227455,-0.900495664299174,-0.746880032525398,0.664773063074358,-0.0157159672179888,0.1574639,0.1226948,0.08487968,0.0630747,0.04691599,10517722247023,1237648720138731520,0,1.60071038628742
1237648722827805612,2,756,301,6,222,940,1,0,3,0,0,0,281544233189632,9007199397511425,9007199388992769,9007199397380353,4503875176398848,9007199388992769,24.56879,24.90293,23.9639,22.3618,21.82989,0.828777,0.5708984,0.5219549,0.229737,0.4715472,23.29461,22.6089,24.4371,21.60976,20.02258,1.775905,0.8541594,31.31973,0.6380486,0.8644322,0.7259434,0.8492886,23.4514,24.36194,23.61859,21.72862,21.15047,0.8109797,0.7797315,0.6812235,0.2153395,0.4602275,22.14812,21.13462,21.78616,21.62305,18.437,0.5615891,0.5254788,0.5578479,0.230139,0.3922601,26.43131,-1000,3.937916,0,1,1,0.2908682,1,1.313227,1.234912,1.308322,1.302289,1.328265,257,120922322,2533207,8,1,24577,24577,24577,24577,24577,149.110403073482,1.08520059351779,-0.858004212735468,0.513293364434727,0.0189391909929565,0.0933587,0.07274447,0.05032428,0.03739634,0.02781601,15560288869459,1237648722827804672,0,3.6353344110986
1237651698693046662,2,1449,301,5,66,390,1,0,3,1,0,8,175992995971344,2323857407857557521,2305843284360069136,2310346883995828240,2305843284360069136,2305984021982774544,23.6502,21.64329,21.31368,20.93049,20.1976,0.9313281,0.07691494,0.07459696,0.08297063,0.2500051,22.47717,20.71808,19.91186,19.81429,19.20354,2.453227,0.1748141,0.1373618,0.20135,0.4138982,2.033729,3.859058,22.95762,20.46257,19.86591,19.55426,19.03427,1.339274,0.06014864,0.05387947,0.06566153,0.1516802,21.95666,20.53139,19.78306,19.70522,18.78982,2.232318,0.06663734,0.06983922,0.06465787,0.1806278,34.64941,3.548641,3.473033,1,0,0.1534312,0,0.1670724,1.620279,1.577161,1.229125,1.242256,1.528367,257,1438045,127058,1,1,16388,24580,24580,24580,24580,195.464502319109,-21.4535043009291,-0.89701893175154,-0.248166977583088,-0.365746069447919,0.4450136,0.3467516,0.2398811,0.1782574,0.1325907,11257421128190,1237651698693046272,0,4.16229588463507
1237655472898704228,2,2328,301,3,114,868,1,0,3,1,0,0,35255507484944,11258999211032849,9007199388992785,4503874773712912,275146342416,9007474535301136,24.15021,24.56655,23.00833,21.7186,21.05281,0.6349261,0.4009508,0.1805608,0.08351403,0.1748503,24.64053,23.73502,23.09575,21.51348,21.04848,1.426145,0.549155,0.4361016,0.1588444,0.4157445,0.5849117,0.9222119,24.14719,24.47612,22.79496,21.45804,20.92419,0.7423204,0.4605855,0.1838065,0.07988513,0.1954275,23.25809,21.90206,22.79496,21.40823,21.03399,1.041165,0.8866378,0.2717154,0.112783,0.1954111,3.815776,1.372595,2.460513,0,1,0,0,1,1.265905,1.156208,1.034153,0.9836528,0.9930167,257,386886610,864272,2,2,24577,24577,24577,24577,24577,255.19014501176,32.5413704977521,-0.215481793256881,-0.814998224986786,0.537908440204453,0.1096801,0.085462,0.05912221,0.04393414,0.03267893,14388688618876,1237655472898703360,0,1.38126320983646
1237660411576516956,2,3478,301,2,149,348,1,0,3,1,0,0,68987912704,275280560128,275146342400,4503874773712896,275280593408,134217729,22.30384,22.55215,21.81333,21.4458,21.70326,0.179636,0.09047689,0.09466343,0.1049395,0.4485232,22.35677,22.73546,21.86005,21.20965,20.67673,0.3893368,0.2473847,0.2230794,0.2101429,0.5830584,0.5429209,1.038648,22.23539,22.47602,21.72052,21.30588,21.5244,0.1880315,0.09538518,0.09870037,0.1084394,0.4497761,22.11082,22.42408,21.72173,21.16269,20.61465,0.2430671,0.1214795,0.1055239,0.1313245,0.7134619,2.624588,0.4297861,1.990178,0,1,0.7599819,0,0,1.110849,0.9168577,0.9303626,0.8229973,0.8618471,257,168192538,906452,1,1,24577,24577,24577,24577,24577,138.782489959079,6.51745378215525,-0.747352261182496,0.654660991469283,0.113505876296631,0.1687963,0.1315249,0.09098834,0.06761409,0.05029246,16301570436196,1237660411576516608,0,1.14555406924202
1237660635989672802,2,3530,301,4,166,866,1,0,3,1,0,16,281543964623104,9007199388991489,142639361,4503874782134528,275146375168,134251777,24.21182,23.66107,22.19394,21.72519,21.84901,0.9843698,0.3339919,0.171739,0.1608582,0.5818283,23.54341,22.80281,21.80219,21.9517,19.70158,2.703912,0.6069462,0.3463218,0.7961898,0.4434732,1.417436,2.739407,24.9497,23.38261,21.83051,21.33233,21.2999,1.424763,0.3688374,0.1727863,0.1622492,0.5784203,20.0142,22.45043,21.84955,21.16769,18.84268,0.785607,0.2490563,0.1770467,0.1529756,0.5006888,7.871436,2.405034,5.348473,0,0,0.8950585,0.5609483,1,1.53861,1.565927,1.524936,1.390329,1.202897,257,423674726,925068,1,1,24577,24577,24577,24577,24577,140.908429097102,38.5058581324917,-0.607363450752167,0.493442540029604,0.622594650137272,0.06302349,0.04910747,0.03397232,0.02524507,0.0187777,16488024506476,1237660635989671936,0,1.98386442569541
1237661150846124186,2,3650,301,3,124,154,1,0,3,1,0,0,35253360132368,2305843009222131985,2305843009490551056,2312598408923219216,2305843284368588816,2305843009347944465,24.04327,23.09978,22.51566,22.09072,22.1718,0.6499927,0.2631631,0.3825813,0.252315,0.5346677,24.22331,23.59706,21.8335,21.35926,24.94119,3.939626,2.031534,0.7518251,0.9033063,1.161316,1.42707,4.034363,24.07617,22.88498,22.19427,21.75893,22.23092,0.739729,0.1776569,0.1497442,0.1602992,0.7535737,24.09264,22.9832,22.15546,21.70649,22.25188,1.163285,0.2578679,0.283453,0.2432406,1.263781,6.54031,1.730906,3.477184,0,0,0.1642939,0.09349737,0,1.31703,1.411084,1.229596,1.101212,1.053956,257,471706305,1116865,2,2,1,8193,8193,24577,24577,210.655571469665,46.7613439217032,-0.589303161500306,-0.349284836461216,0.728506614152545,0.05385584,0.04196411,0.02903057,0.02157283,0.01604622,15165948588407,1237661150846124032,0,1.80835697609817
1237661357541557211,2,3698,301,4,126,987,1,0,3,0,0,0,281543964754688,9007199397478657,9007199397347585,9007199263129601,4503874782102016,9007199254740993,23.92962,24.43839,22.8923,21.76089,21.07999,0.3766498,0.4281375,0.2129571,0.1238386,0.2606004,22.11168,24.38575,22.75335,21.36272,20.57065,0.5109822,1.174146,0.5526662,0.2812469,0.5018688,0.8042552,1.554608,24.19961,24.50356,22.76294,21.58375,20.87736,0.8973584,0.5000008,0.2182864,0.1226224,0.2596487,23.35074,23.23652,22.04467,21.5838,20.5911,1.22131,0.7565417,0.2110681,0.1317151,0.2447079,25.20412,-1000,3.608815,1,1,1,0,1,1.447437,1.312334,1.253096,1.215093,1.090786,257,474028265,1123617,1,1,1,24577,24577,8193,24577,175.297974751145,47.2676636893545,-0.676290580569123,0.0556252735943354,0.734531741704219,0.0903212,0.07037766,0.04868694,0.03617962,0.02691099,15807912181742,1237661357541556224,0,3.54993780377129
1237661386002072603,2,3705,301,1,223,1051,1,0,3,0,0,0,281543964754688,9008298900717569,9007199388960001,9007199388958721,4503874773712896,9007199388992001,22.99679,23.94817,22.73599,22.04715,21.26128,0.9844976,0.3733635,0.1944304,0.1694851,0.3046632,24.04485,22.70991,23.46382,22.00432,21.29432,1.518708,0.5459163,1.475752,0.6670743,0.8364422,0.5232537,0.651324,22.94375,23.59379,22.44769,21.70917,21.20914,0.4090618,0.369215,0.1978507,0.1636677,0.3753872,22.99205,22.52756,22.39138,21.7095,20.56721,0.362345,0.3570562,0.1989552,0.269023,0.4701874,-3.732671,-1000,3.785289,0,0,0.5526822,0,1,1.32789,1.301325,1.282875,1.293567,1.343078,257,454104250,1138537,2,2,24577,24577,24577,24577,24577,235.715033752244,43.448043566226,-0.408961561801784,-0.599853268426322,0.68769651542443,0.07380094,0.05750519,0.03978182,0.02956216,0.02198881,15280795369877,1237661386002071552,0,0
1237646380468929435,2,211,301,3,358,923,1,0,3,0,0,0,316728337109264,2314850208611041553,2314850208476958993,2305844108868325649,2310346883987406864,2305843009347911697,24.86145,24.49918,24.3777,21.79798,22.171,0.7840018,0.5395953,0.5055501,0.125442,0.6596024,26.71413,26.29474,25.85872,20.9452,24.51063,0.8884859,1.350225,1.882974,0.2523295,1.410928,-9999,-9999,25.20037,24.595,24.23609,20.79159,22.00026,1.512432,1.124411,1.349995,0.1202713,1.318357,24.84437,24.61385,24.33089,20.79978,22.1903,1.278646,1.050321,1.504501,0.1204225,1.122609,2.62231,0.492602,2.759118,0,0,0,0.9752972,0,1.290471,1.312616,1.095235,1.0295,1.163582,257,87310086,19219,3,2,24577,24577,24577,24577,24577,94.6413097364882,-0.391076314412292,-0.0809156870346159,0.996697578967039,-0.00682551631446098,1.836606,1.431071,0.9900082,0.7356822,0.5472124,9898011592639,1237646380468928512,0,1.1450567503779
