objID,z,zErr,nnCount,nnVol,photoErrorClass,nnObjID,nnSpecz,nnFarObjID,nnAvgZ,distMod,lumDist,chisq,rnorm,bestFitTemplateID,synthU,synthG,synthR,synthI,synthZ,kcorrU,kcorrG,kcorrR,kcorrI,kcorrZ,kcorrU01,kcorrG01,kcorrR01,kcorrI01,kcorrZ01,absMagU,absMagG,absMagR,absMagI,absMagZ
1237646794377790305,0.345746,0.062719,96,85.81957,-3,1237668496857956412,0.526292,1237678617426264413,0.223306,41.3117,1829.55,26.3682,2.86456,34,19.6608,19.5758,19.0748,19.0108,18.7618,-0.591,-0.138,-0.409,-0.439,-0.571,-0.439,-0.063,-0.366,-0.182,-0.423,-23.9072,-21.6996,-21.7659,-21.5721,-21.9592
1237648704062293269,0.574252,0.162126,100,4.026425,-7,1237664818746950294,0.509696,1237671955914490636,0.496225,42.6305,3358.09,6.05291,1.71637,17,23.2623,22.9253,22.2053,21.6833,21.3803,-0.337,0.219,0.03,-0.275,-0.367,-0.322,0.206,0.022,-0.138,-0.266,-19.6927,-19.829,-20.2174,-20.7299,-22.445
1237648721741416476,0.631773,0.146103,99,60.34226,-7,1237654601561145795,0.71806,1237665548901352421,0.620031,42.8839,3773.88,5.70049,2.09184,35,22.3688,22.2078,21.7408,21.2448,21.0538,-0.669,-0.082,-0.162,-0.53,-0.566,-0.598,-0.048,-0.137,-0.339,-0.437,-19.6715,-20.7415,-20.6299,-21.1231,-23.3135
1237648721743316457,0.153439,0.126595,100,230.0703,-7,1237666185099149503,0.244601,1237662500010852848,0.382099,39.3109,728.069,31.612,2.2372,33,24.4311,22.6321,21.3851,20.8511,20.4371,0.449,0.44,0.106,0.023,-0.033,0.181,0.186,0.048,0.006,-0.009,-15.2478,-19.3005,-18.0535,-18.9688,-18.7941
1237651251513918498,-9999,-9999,-9999,5.879587,-7,1237679253598241215,0.301135,1237651752930443750,0.445958,41.9668,2473.83,13.6287,1.26641,24,23.1234,22.7034,21.7914,21.3864,21.0364,-0.185,0.324,-0.023,-0.187,-0.31,-0.182,0.299,-0.04,-0.063,-0.217,-18.6737,-19.899,-19.7748,-19.7765,-21.6121
1237651272419509440,-9999,-9999,-9999,66.16069,-7,1237667536400613566,0.044641,1237678881005634543,0.416479,41.7895,2279.81,53.8556,5.32473,25,25.3113,24.2383,22.9293,22.3583,21.9173,0.585,0.793,0.229,0,-0.135,0.422,0.668,0.181,0.059,-0.085,-16.9632,-21.315,-15.762,-16.9921,-21.3177
1237652935105382415,-9999,-9999,-9999,8.481336,-7,1237679321787990436,0.314331,1237657770708697699,0.425288,41.8437,2337.4,21.5976,2.5163,38,24.1049,23.3539,22.1429,21.5719,21.0889,0.232,0.698,0.274,0.062,-0.112,0.129,0.586,0.197,0.123,-0.06,-17.9703,-20.8538,-19.9327,-19.5694,-22.3662
1237652935107282396,0.121194,0.082888,99,119.2285,-7,1237679253598372492,0.270941,1237651272428224574,0.370714,38.7527,563.035,113.81,4.81695,34,23.9342,23.5072,23.2732,23.0442,23.0322,-0.194,-0.083,-0.087,-0.282,-0.177,-0.042,-0.008,-0.044,-0.025,-0.029,-14.6258,-13.1189,-16.5168,-11.2199,-15.2835
1237654602628007022,0.575786,0.162919,100,46.61042,-7,1237656567043457247,0.63544,1237657401873465719,0.496176,42.6375,3369.03,6.4141,1.50401,34,22.2766,22.2896,21.9766,21.6746,21.6286,-0.954,-0.403,-0.486,-0.754,-0.683,-0.802,-0.328,-0.443,-0.497,-0.535,-20.8159,-19.8809,-20.0826,-19.9576,-19.8775
1237654880205931215,0.297121,0.112312,99,0.488609,1,1237648721783423298,0.32176,1237657771778245069,0.303498,40.9282,1533.31,0.428078,0.119191,24,21.5775,20.9765,20.1415,19.7845,19.4235,-0.096,0.232,-0.038,-0.154,-0.288,-0.093,0.207,-0.055,-0.03,-0.195,-19.3343,-20.1029,-20.7471,-21.0087,-21.2479
1237654953201501252,0.312101,0.075502,97,23.81583,-7,1237679322861011407,0.515,1237679253598765636,0.407074,41.0521,1623.38,11.9509,2.09924,34,22.4064,22.2654,21.7854,21.7394,21.4714,-0.529,-0.132,-0.382,-0.394,-0.545,-0.377,-0.057,-0.339,-0.137,-0.397,-19.0818,-19.3554,-18.3579,-18.5779,-20.6453
1237655108906844183,0.659553,0.124978,100,252.1315,-7,1237654601023684666,0.515077,1237680000379650833,0.473744,42.9987,3978.62,0.370668,2.62229,19,24.6757,24.0987,23.0107,22.0487,21.5907,0.303,1.055,0.642,-0.007,-0.222,0.156,0.935,0.629,0.062,-0.134,-18.6492,-18.8798,-19.1524,-21.0978,-19.3118
1237655128772445525,0.448521,0.183963,100,13.78348,-7,1237663458853192724,0.37076,1237658613588230708,0.42492,41.9818,2490.87,19.5184,1.71475,10,23.5877,22.9167,21.7667,21.2057,20.7357,0.145,0.647,0.251,0.031,-0.143,0.064,0.549,0.183,0.101,-0.085,-18.5427,-20.1153,-19.9969,-20.0891,-22.5321
1237655463772095495,-9999,-9999,-9999,12.45035,-7,1237662306738701300,0.745466,1237657630590764046,0.665097,43.021,4019.78,50.9542,4.06508,18,23.8249,23.4509,22.7239,21.8859,21.4509,-0.191,0.566,0.517,-0.027,-0.215,-0.235,0.479,0.48,0.064,-0.13,-20.1243,-19.4506,-17.7159,-19.0037,-22.2354
1237655498136551847,0.367671,0.148176,98,44.51311,-7,1237679323397751249,0.191169,1237663783122633049,0.392876,41.4687,1966.74,0.919024,2.98742,17,23.3831,22.9271,22.0451,21.7121,21.3721,-0.172,0.265,-0.086,-0.202,-0.331,-0.157,0.252,-0.094,-0.065,-0.23,-20.7958,-18.5525,-19.2211,-19.6901,-19.0435
1237655744025592932,0.353584,0.044944,99,0.273248,1,1237661966359068802,0.279881,1237656512815890506,0.359603,41.3689,1878.34,4.89873,1.08959,37,22.2199,21.6019,20.6059,20.1839,19.7839,-0.012,0.393,0.04,-0.102,-0.251,-0.042,0.338,0.004,0,-0.17,-20.1607,-19.9469,-20.749,-21.0916,-21.6355
1237657402406208960,0.464793,0.076316,98,5.584703,-7,1237653665258865355,0.345043,1237651753997107733,0.378138,42.0746,2599.66,0.31639,0.351469,12,25.09,23.685,22.16,21.407,20.931,1.029,1.161,0.431,0.041,-0.135,0.817,0.973,0.393,0.079,-0.08,-17.9988,-19.7304,-20.3754,-20.5568,-21.2676
1237657629512237877,0.457786,0.092673,99,1.611291,1,1237651495758135697,0.382588,1237665569827586816,0.464236,42.035,2552.68,10.2074,1.21825,35,22.3108,22.0998,21.3718,21.0928,20.8638,-0.467,0.07,-0.271,-0.422,-0.496,-0.396,0.104,-0.246,-0.231,-0.367,-20.3442,-19.5809,-20.3016,-20.5902,-21.0058
1237657773935493630,0.526658,0.060583,97,1.808157,1,1237652943709798422,0.472045,1237678617411257332,0.54629,42.4021,3022.81,5.24626,0.428466,18,22.7721,22.2951,21.3301,20.6811,20.2641,-0.083,0.571,0.284,-0.071,-0.241,-0.127,0.484,0.247,0.02,-0.156,-19.5928,-20.3402,-21.2883,-21.763,-22.1207
1237657856604766929,0.499233,0.053054,98,2.401403,-3,1237657587096421065,0.335298,1237666408459010462,0.446844,42.2615,2833.41,0.834871,0.202126,8,25.2248,23.2838,21.7558,20.9268,20.5008,1.674,1.267,0.435,-0.073,-0.254,1.455,1.093,0.449,-0.028,-0.167,-18.7984,-20.3929,-20.9702,-21.163,-21.5312
1237658188926943674,0.118774,0.117564,98,106.1297,-7,1237678618478117531,0.45081,1237657118405821081,0.630939,38.7054,550.897,26.1245,3.11904,34,19.2821,18.8551,18.6211,18.3921,18.3801,-0.194,-0.083,-0.087,-0.282,-0.177,-0.042,-0.008,-0.044,-0.025,-0.029,-20.4248,-18.1494,-18.4192,-18.7333,-18.9207
1237658492811804795,-9999,-9999,-9999,1540.233,-7,1237660635447230789,0.01827,1237667142862569556,0.370031,41.4851,1981.63,2.21583,3.63707,8,24.538,22.581,21.013,20.461,20.11,1.425,1.002,0.13,-0.101,-0.207,1.206,0.828,0.144,-0.056,-0.12,-18.389,-17.4563,-20.6468,-20.7874,-18.4838
1237659149385138996,0.764858,0.13773,100,402.7526,-7,1237671940336779289,0.659098,1237680267206460421,0.448949,43.3955,4776.34,2.17812,4.1861,34,21.375,21.378,21.342,20.884,20.704,-1.175,-0.634,-0.44,-0.864,-0.927,-1.023,-0.559,-0.397,-0.607,-0.779,-20.9235,-18.3663,-19.3951,-21.7706,-19.8996
1237660979041142253,0.366187,0.081122,98,1.140643,3,1237674650997293510,0.587658,1237679321787662692,0.370383,41.4584,1957.38,0.140723,0.107413,14,24.0177,22.6077,21.1027,20.5147,20.1027,0.866,0.948,0.212,-0.015,-0.134,0.67,0.771,0.188,0.017,-0.075,-18.2485,-19.7381,-20.6007,-20.935,-21.1638
