SPECOBJID,RUN2D,RUN1D,PLATE,MJD,FIBERID,RA,DEC,Z_NOQSO,Z_ERR_NOQSO,CLASS_NOQSO,Chabrier_MILES_age_lightW,Chabrier_MILES_age_lightW_up_1sig,Chabrier_MILES_age_lightW_low_1sig,Chabrier_MILES_age_lightW_up_2sig,Chabrier_MILES_age_lightW_low_2sig,Chabrier_MILES_metallicity_lightW,Chabrier_MILES_metallicity_lightW_up_1sig,Chabrier_MILES_metallicity_lightW_low_1sig,Chabrier_MILES_metallicity_lightW_up_2sig,Chabrier_MILES_metallicity_lightW_low_2sig,Chabrier_MILES_age_massW,Chabrier_MILES_age_massW_up_1sig,Chabrier_MILES_age_massW_low_1sig,Chabrier_MILES_age_massW_up_2sig,Chabrier_MILES_age_massW_low_2sig,Chabrier_MILES_metallicity_massW,Chabrier_MILES_metallicity_massW_up_1sig,Chabrier_MILES_metallicity_massW_low_1sig,Chabrier_MILES_metallicity_massW_up_2sig,Chabrier_MILES_metallicity_massW_low_2sig,Chabrier_MILES_total_mass,Chabrier_MILES_total_mass_up_1sig,Chabrier_MILES_total_mass_low_1sig,Chabrier_MILES_total_mass_up_2sig,Chabrier_MILES_total_mass_low_2sig,Chabrier_MILES_spm_EBV,Chabrier_MILES_nComponentsSSP,Chabrier_ELODIE_age_lightW,Chabrier_ELODIE_age_lightW_up_1sig,Chabrier_ELODIE_age_lightW_low_1sig,Chabrier_ELODIE_age_lightW_up_2sig,Chabrier_ELODIE_age_lightW_low_2sig,Chabrier_ELODIE_metallicity_lightW,Chabrier_ELODIE_metallicity_lightW_up_1sig,Chabrier_ELODIE_metallicity_lightW_low_1sig,Chabrier_ELODIE_metallicity_lightW_up_2sig,Chabrier_ELODIE_metallicity_lightW_low_2sig,Chabrier_ELODIE_age_massW,Chabrier_ELODIE_age_massW_up_1sig,Chabrier_ELODIE_age_massW_low_1sig,Chabrier_ELODIE_age_massW_up_2sig,Chabrier_ELODIE_age_massW_low_2sig,Chabrier_ELODIE_metallicity_massW,Chabrier_ELODIE_metallicity_massW_up_1sig,Chabrier_ELODIE_metallicity_massW_low_1sig,Chabrier_ELODIE_metallicity_massW_up_2sig,Chabrier_ELODIE_metallicity_massW_low_2sig,Chabrier_ELODIE_total_mass,Chabrier_ELODIE_total_mass_up_1sig,Chabrier_ELODIE_total_mass_low_1sig,Chabrier_ELODIE_total_mass_up_2sig,Chabrier_ELODIE_total_mass_low_2sig,Chabrier_ELODIE_spm_EBV,Chabrier_ELODIE_nComponentsSSP
9188660299460530176,v5_13_0,v5_13_0,8161,57127,695,165.490312048473,51.4537913132676,0.2906567,0.0003436124,GALAXY,6.578666E+09,9.027604E+09,1.530854E+09,9.977192E+09,1.314608E+08,0.6666695,1.251873,0.3075675,1.497924,0.1679167,1.2726E+10,1.382552E+10,5.329207E+09,1.497503E+10,2.813958E+08,0.0681662,0.8728207,0.008315858,1.976727,0.008315858,6.867978E+09,9.177279E+09,2.084425E+09,1.198143E+10,4.349236E+08,0,4,2.801E+07,1.27776E+09,2.801E+07,1.37774E+09,2.801E+07,0.9991714,1.092272,0.9127209,1.497924,0.75312,2.801E+07,1.482505E+10,2.801E+07,1.492503E+10,2.801E+07,0.9991714,1.990027,0.08146627,1.996677,0.02826597,9.850146E+07,2.953348E+09,9.850146E+07,4.155389E+09,9.850146E+07,0.1133333,2
7067434074315706368,v5_13_0,v5_13_0,6277,56273,583,3.68419941624171,29.5856159304986,0.574492,0.0002836141,GALAXY,4.229684E+09,8.327907E+09,2.030637E+09,1.197633E+10,4.313308E+08,0.566919,0.8861208,0.2676673,1.265173,0.2676673,8.477842E+09,1.212626E+10,5.079316E+09,1.452522E+10,5.812659E+08,0.1080664,1.724025,0.03491601,1.724025,0.008315858,5.896472E+10,9.581455E+10,3.132734E+10,1.211488E+11,1.059931E+10,0.08,3,3.22737E+09,7.82645E+09,9.7782E+08,1.047592E+10,3.2795E+08,0.2543672,0.9526212,0.008315858,1.251873,0.008315858,5.22697E+09,1.402521E+10,4.7792E+08,1.402521E+10,3.2795E+08,0.07481623,1.830426,0.008315858,1.843726,0.008315858,3.943628E+10,8.725846E+10,1.265585E+10,1.063873E+11,1.074297E+10,0.08,2
7657305023777624064,v5_13_0,v5_13_0,6801,56487,217,210.10822178028,55.4296725810315,0.560181,0.0001357023,GALAXY,2.280529E+09,4.229684E+09,1.280962E+09,5.279229E+09,1.314608E+08,0.5469689,0.9991714,0.4605184,0.9991714,0.3807179,4.979359E+09,9.877236E+09,1.980659E+09,1.2726E+10,2.813958E+08,0.0149659,0.6666695,0.008315858,0.6666695,0.008315858,3.053961E+10,5.683932E+10,1.738976E+10,7.787908E+10,4.239908E+09,0.6633334,3,1.7798E+08,1.37774E+09,2.801E+07,1.37774E+09,2.801E+07,1.318373,1.391524,0.9991714,1.391524,0.9127209,3.5773E+09,1.287544E+10,2.801E+07,1.467508E+10,2.801E+07,1.338323,1.983377,0.1479666,1.983377,0.02826597,3.970078E+09,2.101898E+10,1.53452E+09,5.024568E+10,1.53452E+09,0.6633334,3
369468655689295872,26,,328,52282,631,176.53869,-2.3089328,-0.0001493694,2.855082E-05,STAR,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2202376273924220928,26,,1956,53437,422,154.45142,32.574828,0.1127848,2.949808E-05,GALAXY,1.322578E+10,1.452522E+10,8.477842E+09,1.472513E+10,7.978059E+09,1.378224,1.930177,1.245223,1.996677,1.178722,1.432531E+10,1.467516E+10,1.2726E+10,1.497503E+10,1.147654E+10,1.644225,1.976727,1.458024,1.996677,1.391524,1.055865E+11,1.083445E+11,7.70872E+10,1.106429E+11,7.249052E+10,0,3,1.317538E+10,1.492503E+10,9.97602E+09,1.497502E+10,5.92683E+09,1.092272,1.092272,0.9526212,1.996677,0.75312,1.362529E+10,1.497502E+10,1.017598E+10,1.497502E+10,5.97682E+09,1.039072,1.517874,0.9592712,1.996677,0.7797202,9.529872E+10,1.088649E+11,7.204236E+10,1.132255E+11,5.120854E+10,0,2
771337680414861312,26,,685,52203,350,359.30977,0.95890739,0.8834838,0.2318709,QSO,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2051478469048559616,26,,1822,53172,323,237.8815,6.3753602,0.1172577,2.443792E-05,GALAXY,5.079316E+09,6.728601E+09,3.480009E+09,8.977626E+09,3.380052E+09,1.318373,1.624275,1.178722,1.624275,0.75312,6.778579E+09,1.092678E+10,4.129727E+09,1.322578E+10,3.829858E+09,1.684125,1.837076,1.039072,1.843726,0.8262705,6.391246E+10,8.126719E+10,4.353951E+10,1.00131E+11,3.146665E+10,0.01666667,3,8.32635E+09,1.0076E+10,6.32675E+09,1.147572E+10,4.97702E+09,1.085622,1.251873,0.9592712,1.584375,0.75312,1.05759E+10,1.192563E+10,7.82645E+09,1.30754E+10,5.97682E+09,1.271823,1.670825,0.9592712,1.870326,0.6600195,1.008696E+11,1.16545E+11,7.814023E+10,1.26734E+11,6.324858E+10,0,5
9936077798010802176,v5_13_0,v5_13_0,8825,57451,40,152.970421918814,38.4608924858295,0.002431969,0.0001197084,STAR,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
4962976508874608640,v5_13_0,v5_13_0,4408,55888,35,352.409940015626,5.61031371896136,0.5534857,0.0001506301,GALAXY,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
5473190033350742016,v5_13_0,v5_13_0,4861,55710,693,214.872688490752,7.1865851203313,0.6402348,0.000131393,GALAXY,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
6623741546062958592,v5_13_0,v5_13_0,5883,56033,263,153.65596907985,18.4364055450116,0.5053326,0.0001808864,GALAXY,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2367787903221786624,26,,2103,53467,74,181.65487,36.201206,0.09707688,7.94064E-06,GALAXY,9.777279E+09,1.012713E+10,4.579532E+09,1.052695E+10,2.780313E+09,0.75312,1.045722,0.5004186,1.251873,0.387368,1.432531E+10,1.462518E+10,8.177973E+09,1.472513E+10,6.128861E+09,0.3607678,1.344973,0.09476634,1.650875,0.08146627,2.071132E+10,2.385297E+10,9.836356E+09,2.675296E+10,6.936366E+09,0.08666667,4,5.72687E+09,7.32655E+09,3.0774E+09,7.82645E+09,2.22757E+09,0.8794707,0.9991714,0.5070686,1.251873,0.3740679,1.022597E+10,1.217558E+10,7.5765E+09,1.327536E+10,6.7788E+08,0.3674179,0.6400694,0.1679167,1.610975,0.1612667,1.225099E+10,1.397658E+10,7.320754E+09,1.545565E+10,2.883536E+09,0.003333333,5
8691048015908327424,v5_13_0,v5_13_0,7719,58082,824,13.2468926335289,33.1730669050478,0.1476888,7.351496E-05,GALAXY,5.179273E+09,6.128861E+09,3.330074E+09,6.828557E+09,1.480876E+09,0.5270188,0.5935192,0.4605184,0.9991714,0.387368,1.077685E+10,1.252609E+10,6.528688E+09,1.407542E+10,2.980226E+09,0.1080664,0.75977,0.008315858,1.697425,0.008315858,5.676872E+09,9.053209E+09,3.034521E+09,1.257634E+10,1.272953E+09,0,4,3.32735E+09,5.27696E+09,2.32755E+09,7.52651E+09,1.32775E+09,0.6666695,0.7863702,0.5868691,0.8329205,0.4605184,1.002601E+10,1.492503E+10,6.92663E+09,1.497502E+10,5.62689E+09,0.0149659,0.3474678,0.008315858,0.9991714,0.008315858,3.342038E+09,5.643412E+09,1.988289E+09,6.861787E+09,1.311414E+09,0,6
7647250538774679552,v5_13_0,v5_13_0,6792,56432,503,236.325123082693,57.0631809793727,0.5256698,7.781023E-05,GALAXY,3.729901E+09,1.187637E+10,4.313308E+08,1.347568E+10,3.813525E+08,0.6267693,1.318373,0.0149659,1.318373,0.008315858,5.928948E+09,1.367559E+10,7.811791E+08,1.367559E+10,6.312442E+08,0.3275176,1.916877,0.008315858,1.976727,0.008315858,2.650162E+10,6.574261E+10,8.107413E+09,8.045797E+10,6.881132E+09,0.1266667,3,8.27636E+09,1.147572E+10,3.97722E+09,1.497502E+10,3.22737E+09,0.2277671,0.4139681,0.1280165,1.125522,0.1280165,1.312539E+10,1.442513E+10,5.82685E+09,1.497502E+10,7.7786E+08,0.05486612,0.9127209,0.02826597,0.9991714,0.02826597,5.41691E+10,7.235931E+10,2.955883E+10,9.268953E+10,1.136863E+10,0,3
2479343530003163136,26,,2202,53566,407,246.1232,15.276761,0.1014056,3.347486E-06,GALAXY,7.428298E+09,1.022708E+10,6.978492E+09,1.147654E+10,6.878536E+09,0.03491601,0.04821608,0.0149659,0.207817,0.0149659,7.578232E+09,1.092678E+10,6.978492E+09,1.247611E+10,6.978492E+09,0.02826597,0.1280165,0.02826597,0.1280165,0.0149659,2.532193E+10,3.222344E+10,2.359655E+10,3.653689E+10,2.31652E+10,0.003333333,3,1.2799E+08,2.77746E+09,7.8E+07,2.82745E+09,2.801E+07,0.9792213,1.231923,0.8129703,1.331673,0.8129703,2.7796E+08,7.12659E+09,1.2799E+08,1.037594E+10,7.8E+07,1.098922,1.724025,0.3607678,1.936827,0.06151615,1.208946E+09,8.411342E+09,7.587963E+08,8.861492E+09,3.086465E+08,0.27,5
