specObjID,mjd,plate,tile,fiberID,z,zErr,class,subClass,zWarning,ra,dec,cx,cy,cz,htmID,sciencePrimary,legacyPrimary,seguePrimary,segue1Primary,segue2Primary,bossPrimary,sdssPrimary,survey,programname,legacy_target1,legacy_target2,special_target1,special_target2,segue1_target1,segue1_target2,segue2_target1,segue2_target2,boss_target1,ancillary_target1,ancillary_target2,plateID,sourceType,targetObjID,objID,skyVersion,run,rerun,camcol,field,obj,mode,nChild,type,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,fiberMagErr_u,fiberMagErr_g,fiberMagErr_r,fiberMagErr_i,fiberMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,mRrCc_r,mRrCcErr_r,score,resolveStatus,calibStatus_u,calibStatus_g,calibStatus_r,calibStatus_i,calibStatus_z,photoRa,photoDec,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,fieldID,dered_u,dered_g,dered_r,dered_i,dered_z
8321773440479809536,56781,7391,15862,899,0.8268688,0.0003279687,GALAXY,,0,161.89658,45.981056,-0.660496855302575,0.215927287147226,0.719110082533022,16417929154657,1,0,0,0,0,1,0,boss,sequels,0,0,0,0,0,0,0,0,0,0,9007199254740992,8321526325245388800,SEQUELS_TARGET,1237660636534080075,1237660636534080075,2,3530,301,5,281,587,1,0,3,105658611536728,23.541,22.7015,22.02785,20.93801,20.22073,0.5394716,0.1340024,0.1200953,0.07416,0.1257906,23.64621,22.83632,22.20858,20.85218,20.2184,0.3495379,0.1677193,0.1203136,0.08132464,0.1558385,23.79909,22.29826,21.93938,20.34647,19.50775,1.650885,0.2307036,0.3033797,0.1181645,0.176973,23.5228,22.42025,21.71868,20.51641,19.84975,0.6909109,0.1289302,0.1247546,0.06715287,0.1215329,23.63699,22.11476,21.71979,20.14077,19.15462,0.849714,0.1285223,0.1426062,0.0633021,0.1149716,6.578933,1.550511,0.7998767,257,24577,24577,24577,24577,24577,161.896577055887,45.9810556312783,0.0878395,0.06844394,0.0473492,0.03518553,0.02617157,1237660636534079488,23.43496,22.35181,21.67133,20.48123,19.82358
3654751994578575360,54939,3246,444,294,0.0004172822,1.58617E-05,STAR,G2,0,176.01244,5.2682123,-0.993365190422348,0.0692461311174914,0.0918181451698515,15406673008101,1,0,1,0,1,0,1,segue2,segue2,0,0,0,0,0,0,-2147483647,-2147483648,0,0,0,3654671180473933824,STAR,11549607317930040,1237654605869547663,2,2126,301,4,379,143,1,0,6,158398662443008,19.82878,18.72901,18.30096,18.14677,18.03801,0.0362785,0.01522262,0.01393855,0.01732671,0.02480117,20.12445,19.02074,18.61058,18.46701,18.36405,0.03932904,0.0081769,0.00796227,0.008885869,0.02897127,19.85777,18.76785,18.34307,18.19394,18.10831,0.04047494,0.008160783,0.00811666,0.009249038,0.03160862,19.84636,18.73329,18.31034,18.1454,18.0373,0.03174748,0.007915013,0.007571109,0.008110477,0.01992287,19.84167,18.73226,18.31034,18.14463,18.03431,0.0317438,0.007914132,0.00757111,0.00838926,0.0199227,2.391748,0.01183296,0.9106826,257,24577,24577,24577,24577,24577,176.012435602842,5.26821135621318,0.09116876,0.07103808,0.04914382,0.03651912,0.02716352,1237654605869547520,19.75519,18.66225,18.2612,18.10888,18.01014
1040391202844731392,52409,924,696,217,0.4018737,0.0001522195,GALAXY,,0,230.38111,-2.2940327,-0.637166933025709,-0.769685702423376,-0.0400277271856078,11627976352640,1,1,0,0,0,0,1,sdss,legacy,32,0,0,0,0,0,0,0,0,0,0,1040331554338924544,GALAXY,10025542484641,1237655498139239208,2,2334,301,2,230,808,1,0,3,68988043520,25.74294,22.08657,20.39143,19.60612,19.05243,0.7512604,0.09155888,0.03111115,0.0256939,0.04956748,24.82634,22.23427,20.41151,19.59604,19.13696,1.079896,0.1063467,0.03225391,0.018866,0.05807405,25.56994,21.69612,19.171,18.47506,18.01391,5.171393,0.4574876,0.0640259,0.0670867,0.1294008,26.7779,20.98797,19.06672,18.26551,17.7816,0.7978233,0.08754782,0.02385839,0.01816629,0.04213969,25.9946,21.41222,19.06672,18.42182,17.91077,0.6820626,0.0847307,0.02385838,0.01807357,0.04207256,11.51265,0.4614572,0.8509504,257,24577,24577,24577,24577,24577,230.381099663474,-2.29403155152596,0.7342515,0.5721238,0.3957926,0.2941163,0.2187685,1237655498139238400,26.04365,20.41585,18.67092,17.97139,17.56284
8220418259020959744,56746,7301,15813,811,0.5857962,0.0002977165,GALAXY,,4,125.46354,52.731024,-0.351335293510813,0.493217498776391,0.795801489339164,16254256741688,1,0,0,0,0,1,0,boss,sequels,0,0,0,0,0,0,0,0,0,0,9007199254740992,8220195333042350080,SEQUELS_TARGET,1237663546365510342,1237663546365510342,2,4208,301,1,145,710,1,0,3,68987912448,23.94377,23.72057,22.23178,21.23544,20.3272,0.7572247,0.3303307,0.1432783,0.08181126,0.1581939,24.67549,23.73318,22.31424,21.37544,20.57111,0.9326304,0.3566,0.1909289,0.1243781,0.2206723,24.16762,22.82611,22.13222,21.10698,20.02863,2.51235,0.4454817,0.4809009,0.3230699,0.3713871,24.58973,23.41597,21.77728,20.80713,20.04111,1.177283,0.3404486,0.1380006,0.08354089,0.1684648,21.81855,21.05293,21.77728,20.91993,20.03206,1.192561,0.282744,0.1434064,0.08195836,0.3362041,9.126791,2.280545,0.8192097,257,24577,24577,24577,24577,24577,125.463537873497,52.7310239460096,0.2632795,0.2051456,0.1419188,0.1054609,0.0784435,1237663546365509632,24.32645,23.21083,21.63537,20.70166,19.96267
9070504581906321408,57186,8056,16540,927,3.254807,0.0002132624,QSO,BROADLINE,0,250.05819,49.760393,-0.22032344613428,-0.607251905885548,0.763349658991137,15316784376622,1,0,0,0,0,1,0,eboss,eboss,0,0,0,0,0,0,0,0,0,0,0,9070249770090506240,QSO,1237665570904146720,1237665570904146720,2,4679,301,4,121,800,1,0,6,69055152968,24.05552,20.64106,20.49415,20.4922,20.6651,0.731074,0.02448568,0.02621529,0.03362698,0.1643061,23.69804,20.91175,20.82321,20.75899,21.05359,0.8596795,0.031375,0.02636452,0.05592453,0.3256134,24.50982,20.65414,20.59405,20.45959,20.77971,1.681019,0.03359276,0.04665178,0.06044611,0.3657957,24.00571,20.63388,20.50608,20.48902,20.64572,0.7295787,0.0234343,0.02656865,0.03329972,0.1712252,22.5775,20.61753,20.50608,20.44412,20.50221,0.6742811,0.02610822,0.02914751,0.03357128,0.216504,2.132551,0.07186419,0.9755911,257,24577,24577,24577,24577,24577,250.058187208625,49.7603933966092,0.0567755,0.04423909,0.03060439,0.02274234,0.01691613,1237665570904145920,23.94894,20.58964,20.47547,20.46627,20.62881
6966176199736578048,56244,6187,15260,849,2.701335,0.0001523082,QSO,BROADLINE,0,8.40662279999998,20.260609,0.928047468411633,0.137151740857622,0.346290768508897,17282536384567,1,0,0,0,0,1,0,boss,boss,0,0,0,0,0,0,0,0,0,0,1280,6965942828397504512,QSO_VAR_SDSS,1237679460821172295,1237679460821172295,2,7913,301,4,11,71,1,0,6,35253360132112,20.02823,18.95499,18.6915,18.5423,18.42389,0.05778294,0.0248794,0.03012216,0.03659139,0.03717424,20.25689,19.11213,18.76933,18.60734,18.50441,0.06144893,0.0232605,0.02717459,0.04492075,0.04756548,20.15211,18.9656,18.69778,18.56937,18.43808,0.08850002,0.03567475,0.06335388,0.07789539,0.07815614,20.05046,18.93793,18.67675,18.53214,18.4244,0.0559282,0.009749943,0.009797901,0.01037833,0.02838263,20.0594,18.93738,18.67676,18.53988,18.43745,0.05587304,0.00974821,0.009797902,0.01037454,0.02837528,3.219839,0.03036111,0.8473244,257,1,24577,24577,24577,24577,8.40661620506188,20.2606109754994,0.2263179,0.1763454,0.1219949,0.0906553,0.06743089,1237679460821172224,19.82414,18.76158,18.55476,18.44149,18.35697
8732725559115927552,58392,7756,16256,894,0.4400292,1.442966E-05,GALAXY,STARBURST,0,349.16603,34.193313,0.812403101183711,-0.155473428222116,0.561986845312194,13325516502839,1,0,0,0,0,1,0,eboss,eboss,0,0,0,0,0,0,0,0,0,0,0,8732479818271041536,QSO,1237680504508973509,1237680504508973509,2,8156,301,4,175,453,1,0,6,35253360136208,20.63538,20.26945,19.82597,19.55308,19.36843,0.05900168,0.0232586,0.02456613,0.0419825,0.07744475,21.05634,20.62926,20.15118,19.89686,19.61389,0.06305718,0.02017828,0.02340936,0.05217103,0.09363764,20.38991,20.26026,19.78751,19.41691,19.22647,0.09134885,0.03448826,0.0454072,0.07764504,0.1502294,20.57485,20.19559,19.73537,19.46032,19.25511,0.07101911,0.02004722,0.0204909,0.02268231,0.07141256,20.31442,20.19361,19.7355,19.42642,19.15827,0.06933804,0.02498868,0.02841533,0.02265603,0.08608655,5.684087,0.1626962,0.8352418,257,24577,24577,24577,24577,24577,349.166026605579,34.1933128509677,0.4088345,0.318561,0.2203791,0.1637653,0.1218113,1237680504508973056,20.16602,19.87703,19.51499,19.29655,19.1333
10513770288164130816,58044,9338,17174,425,0.8682081,7.460617E-05,GALAXY,,0,12.148368,-4.3981269,0.974727136884154,0.20982421134203,-0.076686432674332,8835907151848,1,0,0,0,0,1,0,eboss,ELG_SGC,0,0,0,0,0,0,0,0,0,0,0,10513653465057601536,ELG,0,1237679323925119582,2,7881,301,5,103,606,1,0,3,105624251662608,22.18205,23.46518,22.58544,22.15237,21.67908,0.1879146,0.2681502,0.1643161,0.160462,0.2708976,23.00659,23.30264,23.04672,22.20716,21.51009,0.5076504,0.2882173,0.3475039,0.2539913,0.4170979,23.25158,22.74704,22.79198,22.07734,21.32055,1.094422,0.2600264,0.4039702,0.3336098,0.5357456,22.33867,23.43553,22.61509,22.12445,21.52058,0.2285723,0.2675017,0.1748034,0.16678,0.2593822,22.2641,22.58499,22.61509,21.61055,20.36032,0.2272713,0.2779831,0.24117,0.1727119,0.3976894,2.283935,0.6879752,0.879766,257,16385,24577,24577,24577,24577,12.1483883905225,-4.39820030480636,0.3031323,0.2361986,0.1634011,0.1214245,0.09031755,1237679323925118976,22.03554,23.19933,22.45169,22.00302,21.43026
8355391289718755328,57159,7421,16018,320,0.1625894,1.58504E-05,QSO,BROADLINE,0,185.79776,47.740751,-0.669046292006524,-0.0679328176841669,0.740109580693164,14638973892299,1,0,0,0,0,1,0,boss,sequels,0,0,0,0,0,0,0,0,0,0,9007199254740992,8355303328792455168,SEQUELS_TARGET,0,1237661434845462555,2,3716,301,4,42,27,1,0,3,193583034535952,17.18852,17.13167,17.06352,16.78142,16.80583,0.01205151,0.01705427,0.01628436,0.01837198,0.01756293,17.50445,17.35884,17.22733,16.93081,16.91714,0.008915046,0.003349549,0.002997417,0.00284287,0.01106091,17.05836,16.67642,16.41427,16.09792,16.07411,0.01193913,0.004183734,0.005592181,0.006010293,0.01974023,17.07758,16.74631,16.5018,16.22751,16.15074,0.009274703,0.004080002,0.004075245,0.004458089,0.009235782,17.17337,16.78671,16.5018,16.24562,16.30046,0.008529733,0.004067515,0.004075244,0.00445486,0.009184225,3.637522,0.006036629,0.9148716,257,24577,24577,24577,24577,24577,185.797758076176,47.7407514281311,0.05642954,0.04396951,0.03041791,0.02260376,0.01681305,1237661434845462528,17.02115,16.70234,16.47138,16.2049,16.13392
2051478469048559616,53172,1822,1333,323,0.1172577,2.443792E-05,GALAXY,,0,237.8815,6.3753602,-0.528384089953485,-0.841712555595125,0.11104155635415,14495787790563,1,1,0,0,0,0,1,sdss,legacy,64,0,0,0,0,0,0,0,0,0,0,2051389683484616704,GALAXY,11557239474618690,1237662197751283981,2,3894,301,1,229,269,1,0,3,35253360136240,21.07439,19.13487,18.19514,17.69349,17.32697,0.06997348,0.01680019,0.01414208,0.01478043,0.01742134,21.1422,19.15014,18.14087,17.70339,17.33872,0.08209005,0.007951085,0.005938544,0.005660069,0.009859874,20.35384,18.35411,17.34044,16.92027,16.58646,0.1322859,0.02387285,0.02263643,0.01921021,0.02543274,20.38363,18.34008,17.47353,16.8891,16.54254,0.06327616,0.007822126,0.02076006,0.005196364,0.01010336,20.29922,18.28012,17.41701,16.85321,16.50536,0.07315044,0.00778178,0.02091662,0.005176836,0.01008415,8.755901,0.04151648,0.895112,257,24577,24577,24577,24577,24577,237.881503928524,6.37537226495344,0.1798139,0.1401098,0.0969273,0.07202737,0.05357513,1237662197751283712,20.20382,18.19997,17.3766,16.81707,16.48897
