cntr,ra,dec,sigra,sigdec,sigradec,wx,wy,coadd_id,src,rchi2,xsc_prox,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,rho12,rho23,rho34,q12,q23,q34,blend_ext_flags,w1mpro,w1sigmpro,w1snr,w1rchi2,w1sat,w1nm,w1m,w1cov,w1frtr,w1flux,w1sigflux,w1sky,w1sigsky,w1conf,w1mag,w1sigmag,w1mcor,w1magp,w1sigp1,w1sigp2,w1dmag,w1mjdmin,w1mjdmax,w1mjdmean,w1rsemi,w1ba,w1pa,w1gmag,w1siggmag,w1flg,w1gflg,ph_qual_det1,w1ndf,w1mlq,w1cc_map,var_flg1,moon_lev1,satnum1,w2mpro,w2sigmpro,w2snr,w2rchi2,w2sat,w2nm,w2m,w2cov,w2frtr,w2flux,w2sigflux,w2sky,w2sigsky,w2conf,w2mag,w2sigmag,w2mcor,w2magp,w2sigp1,w2sigp2,w2dmag,w2mjdmin,w2mjdmax,w2mjdmean,w2rsemi,w2ba,w2pa,w2gmag,w2siggmag,w2flg,w2gflg,ph_qual_det2,w2ndf,w2mlq,w2cc_map,var_flg2,moon_lev2,satnum2,w3mpro,w3sigmpro,w3snr,w3rchi2,w3sat,w3nm,w3m,w3cov,w3frtr,w3flux,w3sigflux,w3sky,w3sigsky,w3conf,w3mag,w3sigmag,w3mcor,w3magp,w3sigp1,w3sigp2,w3dmag,w3mjdmin,w3mjdmax,w3mjdmean,w3rsemi,w3ba,w3pa,w3gmag,w3siggmag,w3flg,w3gflg,ph_qual_det3,w3ndf,w3mlq,w3cc_map,var_flg3,moon_lev3,satnum3,w4mpro,w4sigmpro,w4snr,w4rchi2,w4sat,w4nm,w4m,w4cov,w4frtr,w4flux,w4sigflux,w4sky,w4sigsky,w4conf,w4mag,w4sigmag,w4mcor,w4magp,w4sigp1,w4sigp2,w4dmag,w4mjdmin,w4mjdmax,w4mjdmean,w4rsemi,w4ba,w4pa,w4gmag,w4siggmag,w4flg,w4gflg,ph_qual_det4,w4ndf,w4mlq,w4cc_map,var_flg4,moon_lev4,satnum4,w1mag_1,w1sigmag_1,w1flg_1,w1mag_2,w1sigmag_2,w1flg_2,w1mag_3,w1sigmag_3,w1flg_3,w1mag_4,w1sigmag_4,w1flg_4,w1mag_5,w1sigmag_5,w1flg_5,w1mag_6,w1sigmag_6,w1flg_6,w1mag_7,w1sigmag_7,w1flg_7,w1mag_8,w1sigmag_8,w1flg_8,w2mag_1,w2sigmag_1,w2flg_1,w2mag_2,w2sigmag_2,w2flg_2,w2mag_3,w2sigmag_3,w2flg_3,w2mag_4,w2sigmag_4,w2flg_4,w2mag_5,w2sigmag_5,w2flg_5,w2mag_6,w2sigmag_6,w2flg_6,w2mag_7,w2sigmag_7,w2flg_7,w2mag_8,w2sigmag_8,w2flg_8,w3mag_1,w3sigmag_1,w3flg_1,w3mag_2,w3sigmag_2,w3flg_2,w3mag_3,w3sigmag_3,w3flg_3,w3mag_4,w3sigmag_4,w3flg_4,w3mag_5,w3sigmag_5,w3flg_5,w3mag_6,w3sigmag_6,w3flg_6,w3mag_7,w3sigmag_7,w3flg_7,w3mag_8,w3sigmag_8,w3flg_8,w4mag_1,w4sigmag_1,w4flg_1,w4mag_2,w4sigmag_2,w4flg_2,w4mag_3,w4sigmag_3,w4flg_3,w4mag_4,w4sigmag_4,w4flg_4,w4mag_5,w4sigmag_5,w4flg_5,w4mag_6,w4sigmag_6,w4flg_6,w4mag_7,w4sigmag_7,w4flg_7,w4mag_8,w4sigmag_8,w4flg_8,glat,glon,rjce
1601241000001,0.5718093,-2.1392576,0.0695,0.0697,0.0045,551.953,411.994,0000m016_ab41,1,1.065,9999,1319878272,0.611,-42.8,1,8.583,0.018,8.364,0.027,8.266,0.02,-15,-50,-16,0,1,0,1,8.204,0.023,46.7,1.027,0,11,11,11.627,0,82904,1776.6,18.039,2.849,0,8.206,0.005,0.261,8.203,0.016,0.005,0.043,55367.62636863,55368.61858328,55368.11945465,9999,9999,9999,9999,9999,0,0,129,10,0,0,0,0,0,8.247,0.021,50.8,1.15,0,11,11,11.781,0,31720,624.44,44.459,3.969,0.085,8.245,0.006,0.319,8.247,0.04,0.012,0.118,55367.62636863,55368.61858328,55368.11945465,9999,9999,9999,9999,9999,0,0,1,10,0,0,2,0,0,8.248,0.022,49.9,1.053,0,11,11,11.908,0,7959.6,159.62,3324.14,29.895,0,8.289,0.02,0.825,8.245,0.047,0.014,0.15,55367.62636863,55368.61858328,55368.11945465,9999,9999,9999,9999,9999,0,0,1,10,0,0,1,0,0,7.92,0.194,5.6,1.055,0,0,11,11.61,0,107.68,19.267,1125.484,11.152,0.251,7.821,0.304,0.576,7.942,0.667,0.201,5.188,55367.62636863,55368.61858328,55368.11945465,9999,9999,9999,9999,9999,1,0,2,10,0,0,16,0,0,8.84,0.005,0,8.467,0.005,0,8.337,0.005,0,8.286,0.005,0,8.264,0.005,1,8.251,0.005,1,8.242,0.005,1,8.235,0.005,1,9.007,0.006,0,8.564,0.006,0,8.397,0.006,0,8.333,0.006,0,8.303,0.006,1,8.286,0.006,1,8.275,0.006,1,8.267,0.006,1,9.701,0.025,0,9.114,0.02,0,8.804,0.02,0,8.642,0.02,0,8.559,0.02,0,8.518,0.02,1,8.496,0.02,1,8.485,0.02,1,8.929,0.336,1,8.397,0.304,1,8.085,0.304,1,7.86,0.304,1,7.706,0.304,1,7.643,0.304,1,7.641,0.304,1,6.873,0.304,32,-62.3766492413428,95.6297172268652,0.2219868
1601241000004,0.5545375,-2.0165497,0.0781,0.0773,0.0081,597.033,733.261,0000m016_ab41,4,1.138,9999,1319878085,0.674,-101.5,1,11.851,0.023,11.21,0.026,10.991,0.02,10,-10,61,0,0,1,1,10.846,0.025,44,1.546,0,12,12,11.831,0,7269.9,165.08,17.969,2.897,0,10.877,0.006,0.261,10.851,0.019,0.005,0.104,55367.62636863,55368.61858328,55368.08935763,9999,9999,9999,9999,9999,0,0,129,11,0,0,0,0,0,10.819,0.021,51.8,1.018,0,12,12,11.983,0,2967.7,57.317,44.39,3.845,0.142,10.828,0.008,0.319,10.82,0.027,0.008,0.089,55367.62636863,55368.61858328,55368.08935763,9999,9999,9999,9999,9999,0,0,1,11,0,0,0,0,0,10.748,0.098,11.1,0.9347,0,6,12,12.038,0,795.71,71.462,3325.716,30.298,0,10.774,0.148,0.825,10.746,0.327,0.094,1.001,55367.62636863,55368.61858328,55368.08935763,9999,9999,9999,9999,9999,0,0,1,11,0,0,1,0,0,8.929,9999,0.2,1.073,0,0,12,12.126,0,4.4583,19.014,1125.757,11.028,1.312,8.067,9999,0.576,10.963,9999,9999,2.83,55367.62636863,55368.61858328,55368.08935763,9999,9999,9999,9999,9999,32,0,16,5,0,0,16,0,0,11.508,0.006,0,11.138,0.006,0,11.008,0.006,0,10.957,0.006,0,10.933,0.006,1,10.917,0.006,1,10.904,0.006,1,10.89,0.006,1,11.581,0.009,0,11.147,0.008,0,10.985,0.008,0,10.925,0.008,0,10.899,0.008,1,10.885,0.008,1,10.875,0.008,1,10.865,0.008,1,12.185,0.184,0,11.599,0.148,0,11.296,0.148,0,11.119,0.148,0,11.024,0.148,0,10.985,0.148,1,10.971,0.148,1,10.983,0.148,1,9.162,9999,32,8.643,9999,32,8.28,9999,32,8.073,9999,32,7.874,9999,32,7.635,9999,32,7.41,9999,32,7.21,9999,32,-62.2575760626417,95.7035564430795,0.4028357
1601241000005,0.613846,-2.1247138,0.0813,0.0812,0.0091,441.962,450.042,0000m016_ab41,5,1.07,9999,1319878255,0.282,53.4,1,11.823,0.023,11.418,0.025,11.349,0.023,34,12,31,1,0,0,1,11.278,0.024,46.1,1.288,0,13,13,12.856,0,4883.6,106,18.005,2.965,0,11.279,0.006,0.261,11.272,0.024,0.007,0.13,55367.62636863,55368.75088708,55368.18097296,9999,9999,9999,9999,9999,0,0,129,12,0,0,1,0,0,11.349,0.023,46.9,1.167,0,13,13,12.76,0,1821.8,38.883,44.348,4.013,0.29,11.339,0.009,0.319,11.35,0.035,0.01,0.126,55367.62636863,55368.75088708,55368.18097296,9999,9999,9999,9999,9999,0,0,1,12,0,0,1,0,0,11.455,0.184,5.9,0.9112,0,1,12,12.78,0,414.95,70.146,3326.321,29.802,0,11.519,0.307,0.825,11.462,0.662,0.191,2.788,55367.62636863,55368.61858328,55368.13348012,9999,9999,9999,9999,9999,0,0,2,11,0,0,16,0,0,9.17,9999,-0.3,0.9244,0,0,13,12.761,0,-4.5159,17.017,1126.15,11.172,0.419,8.34,9999,0.576,9999,9999,9999,0.835,55367.62636863,55368.75088708,55368.18097296,9999,9999,9999,9999,9999,32,0,16,4,0,0,16,0,0,11.906,0.006,0,11.54,0.006,0,11.412,0.006,0,11.362,0.006,1,11.335,0.006,1,11.312,0.006,1,11.282,0.006,1,11.246,0.006,1,12.09,0.01,0,11.658,0.009,0,11.497,0.009,0,11.434,0.009,1,11.402,0.009,1,11.376,0.009,1,11.342,0.009,1,11.299,0.009,1,12.931,0.385,0,12.344,0.307,0,11.995,0.307,0,11.776,0.307,0,11.626,0.307,1,11.508,0.307,1,11.395,0.307,1,11.273,0.307,1,9.354,9999,32,8.916,9999,32,8.57,9999,32,8.277,9999,32,8.015,9999,32,7.695,9999,32,7.454,9999,32,7.252,9999,32,-62.3805024929986,95.7252394547257,0.4340663
1601241000006,0.7543552,-2.2652229,0.0851,0.0798,0.0016,74.542,82.08,0000m016_ab41,6,0.9163,9999,1319897833,1.081,11.9,1,12.957,0.028,12.362,0.03,12.12,0.028,11,46,14,0,1,0,1,11.915,0.022,49.3,0.8005,0,10,10,9.917,0,2717.4,55.084,17.992,2.956,0.026,11.918,0.007,0.261,11.915,0.02,0.006,0.065,55367.75867244,55368.75088708,55368.2547798,9999,9999,9999,9999,9999,0,0,129,9,0,0,0,0,0,11.839,0.024,45.4,1.091,0,10,10,9.896,0,1159.4,25.549,44.301,4.169,0.445,11.84,0.012,0.319,11.838,0.06,0.019,0.188,55367.75867244,55368.75088708,55368.2547798,9999,9999,9999,9999,9999,0,0,1,9,0,0,1,0,0,11.377,0.188,5.8,0.8185,0,0,10,9.843,0,445.8,77.015,3326.638,31.077,0,11.229,0.312,0.825,11.381,0.469,0.148,2.007,55367.75867244,55368.75088708,55368.2547798,9999,9999,9999,9999,9999,0,0,2,9,0,0,16,0,0,8.966,0.529,2.1,0.9817,0,0,10,9.941,0,41.071,20.009,1126.035,11.081,0.897,7.855,9999,0.576,8.944,1.777,0.562,3.799,55367.75867244,55368.75088708,55368.2547798,9999,9999,9999,9999,9999,32,0,4,6,0,0,16,0,0,12.551,0.008,0,12.179,0.007,0,12.037,0.007,1,11.952,0.007,1,11.858,0.007,1,11.752,0.007,1,11.665,0.007,1,11.612,0.007,1,12.595,0.014,0,12.159,0.012,0,11.987,0.012,1,11.89,0.012,1,11.796,0.012,1,11.697,0.012,1,11.611,0.012,1,11.548,0.012,1,12.734,0.415,0,12.054,0.312,0,11.657,0.312,1,11.444,0.312,1,11.349,0.312,1,11.289,0.312,1,11.25,0.312,1,11.25,0.312,1,8.918,9999,32,8.431,9999,32,8.112,9999,32,7.879,9999,32,7.644,9999,32,7.388,9999,32,7.157,9999,32,6.97,9999,32,-62.5659254014647,95.8793816183198,0.1870555
1601241000007,0.4936983,-2.123218,0.0857,0.0841,-0.0011,756.298,454.033,0000m016_ab41,7,0.9781,9999,1319878252,0.063,-55,1,12.958,0.026,12.34,0.027,12.136,0.026,17,-19,74,0,0,1,1,12.016,0.024,45.4,1.049,0,12,12,11.793,0,2474.9,54.52,18.014,3.028,0,12.021,0.008,0.261,12.017,0.036,0.01,0.11,55367.49406493,55368.61858328,55368.05079556,9999,9999,9999,9999,9999,0,0,129,11,0,0,0,0,0,11.953,0.024,44.9,1.038,0,12,12,11.756,0,1044.2,23.252,44.36,4.041,0.27,11.963,0.013,0.319,11.955,0.048,0.014,0.169,55367.49406493,55368.61858328,55368.05079556,9999,9999,9999,9999,9999,0,0,1,11,0,0,0,0,0,11.567,0.203,5.3,0.8313,0,1,12,11.922,0,374.13,69.945,3323.615,30.73,0,11.571,0.31,0.825,11.553,0.535,0.155,2.123,55367.49406493,55368.61858328,55368.05079556,9999,9999,9999,9999,9999,0,0,2,11,0,0,16,0,0,9.104,9999,-0.6,1.017,0,0,12,11.932,0,-11.452,18.079,1123.344,11.047,0.74,8.08,9999,0.576,9999,9999,9999,2.963,55367.49406493,55368.61858328,55368.05079556,9999,9999,9999,9999,9999,32,0,16,4,1,0,16,0,0,12.654,0.008,0,12.282,0.008,0,12.153,0.008,0,12.104,0.008,0,12.082,0.008,1,12.07,0.008,1,12.061,0.008,1,12.053,0.008,1,12.715,0.014,0,12.282,0.013,0,12.125,0.013,0,12.069,0.013,0,12.05,0.013,1,12.042,0.013,1,12.037,0.013,1,12.031,0.013,1,12.984,0.382,0,12.396,0.31,0,12.111,0.31,0,11.971,0.31,0,11.868,0.31,1,11.722,0.31,1,11.514,0.31,1,11.305,0.31,1,9.088,9999,32,8.656,9999,32,8.311,9999,32,8.017,9999,32,7.758,9999,32,7.522,9999,32,7.307,9999,32,7.108,9999,32,-62.3300543274728,95.490399985682,0.3717217
1601241000010,0.522191,-2.0770028,0.0889,0.0873,0.0068,681.715,575.01,0000m016_ab41,10,0.9614,9999,1319878178,0.204,-104.5,1,12.454,0.023,12.159,0.025,12.095,0.025,0,22,11,0,0,0,1,12.022,0.025,43.7,0.912,0,11,11,10.893,0,2461.9,56.329,17.985,3.063,0,12.037,0.007,0.261,12.022,0.025,0.008,0.077,55367.62636863,55368.61858328,55368.08936825,9999,9999,9999,9999,9999,1,0,129,10,0,0,0,0,0,12.03,0.025,43.3,1.025,0,11,11,10.852,0,972.84,22.464,44.36,4.035,0,12.073,0.017,0.319,12.028,0.039,0.012,0.128,55367.62636863,55368.61858328,55368.08936825,9999,9999,9999,9999,9999,1,0,1,10,0,0,0,0,0,11.669,0.232,4.7,0.9168,0,0,11,10.962,0,340.64,72.664,3321.196,30.771,0,11.802,0.402,0.825,11.675,0.702,0.212,2.298,55367.62636863,55368.61858328,55368.08936825,9999,9999,9999,9999,9999,1,0,2,9,0,0,16,0,0,8.992,9999,-0.5,1.016,0,0,11,10.868,0,-10.715,20.057,1123.72,11.52,0.681,8.408,9999,0.576,11.888,9999,9999,1.102,55367.62636863,55368.61858328,55368.08936825,9999,9999,9999,9999,9999,32,0,16,4,0,0,16,0,0,12.663,0.008,0,12.298,0.007,1,12.168,0.007,1,12.114,0.007,1,12.084,0.007,1,12.065,0.007,1,12.05,0.007,1,12.036,0.007,1,12.825,0.018,0,12.392,0.017,1,12.236,0.017,1,12.185,0.017,1,12.17,0.017,1,12.169,0.017,1,12.169,0.017,1,12.168,0.017,1,13.193,0.486,0,12.627,0.402,1,12.287,0.402,1,12.032,0.402,1,11.817,0.402,1,11.602,0.402,1,11.369,0.402,1,11.144,0.402,1,9.414,9999,32,8.984,9999,32,8.641,9999,32,8.348,9999,32,8.09,9999,32,7.856,9999,32,10.926,9999,32,7.445,9999,32,-62.2995639778443,95.5870618035377,0.3094276
1601241000011,0.577978,-2.1298383,0.0862,0.0851,-0.0071,535.806,436.65,0000m016_ab41,11,1.078,9999,1319878262,0.142,110.3,1,12.47,0.024,12.229,0.026,12.153,0.026,-36,-28,39,1,0,0,1,12.123,0.023,46.5,1.184,0,12,12,11.954,0,2243.3,48.241,17.994,2.837,0,12.072,0.007,0.261,12.123,0.022,0.006,0.07,55367.62636863,55368.61858328,55368.13348012,9999,9999,9999,9999,9999,0,0,129,11,0,8,1,0,0,12.134,0.026,42.1,1.155,0,12,12,11.861,0,883.69,21.015,44.365,3.848,0.034,12.088,0.015,0.319,12.135,0.041,0.012,0.129,55367.62636863,55368.61858328,55368.13348012,9999,9999,9999,9999,9999,0,0,1,11,0,8,1,0,0,12.014,0.306,3.5,0.9976,0,0,12,11.938,0,247.88,69.935,3326.232,30.352,0.614,12.076,0.515,0.825,12.014,0.84,0.242,2.799,55367.62636863,55368.61858328,55368.13348012,9999,9999,9999,9999,9999,0,0,2,10,0,0,16,0,0,8.846,9999,0.4,0.9929,0,0,12,11.731,0,8.3658,18.754,1126.089,11.239,0.493,8.213,9999,0.576,10.538,2.9,0.837,3.946,55367.62636863,55368.61858328,55368.13348012,9999,9999,9999,9999,9999,32,0,16,6,0,0,16,0,0,12.725,0.008,0,12.333,0.007,0,12.17,0.007,0,12.079,0.007,0,12.01,0.007,0,11.944,0.007,0,11.87,0.007,1,11.777,0.007,1,12.866,0.016,0,12.407,0.015,0,12.208,0.015,0,12.103,0.015,0,12.028,0.015,0,11.956,0.015,0,11.873,0.015,1,11.767,0.015,1,12.683,9999,32,12.901,0.515,0,12.551,0.515,0,12.43,0.515,0,11.604,0.515,32,11.545,0.515,32,11.446,0.515,32,11.278,0.515,32,9.254,9999,32,8.789,9999,32,8.496,9999,32,8.287,9999,32,7.886,9999,32,7.582,9999,32,7.327,9999,32,7.137,9999,32,-62.3705684324834,95.6501473183488,0.1916937
1601241000012,0.5854618,-2.1745176,0.092,0.0883,-0.0084,516.269,319.674,0000m016_ab41,12,0.9002,9999,1319878330,0.218,-60.7,1,12.947,0.024,12.379,0.027,12.248,0.023,32,-31,-99,0,0,0,1,12.149,0.024,45.4,0.9391,0,10,10,11.093,0,2189.7,48.25,18.021,2.943,0,12.168,0.008,0.261,12.149,0.026,0.008,0.08,55367.62636863,55368.61858328,55368.12908484,9999,9999,9999,9999,9999,0,0,129,9,0,0,0,0,0,12.246,0.027,40.2,0.9085,0,10,10,11.751,0,796.96,19.842,44.38,3.935,0,12.27,0.016,0.319,12.236,0.04,0.013,0.168,55367.62636863,55368.61858328,55368.12908484,9999,9999,9999,9999,9999,0,0,1,9,0,0,0,0,0,11.574,0.229,4.7,0.9214,0,1,10,10.997,0,371.73,78.519,3323.587,30.396,0,11.321,9999,0.825,11.56,0.757,0.239,1.924,55367.62636863,55368.61858328,55368.12908484,9999,9999,9999,9999,9999,32,0,2,8,0,0,16,0,0,9.006,9999,-1.6,0.855,0,0,10,11.281,0,-31.506,19.796,1125.988,10.909,1.043,8.451,9999,0.576,9999,9999,9999,0.54,55367.62636863,55368.61858328,55368.12908484,9999,9999,9999,9999,9999,32,0,16,1,0,0,16,0,0,12.801,0.009,0,12.429,0.008,0,12.3,0.008,1,12.248,0.008,1,12.222,0.008,1,12.208,0.008,1,12.202,0.008,1,12.199,0.008,1,13.022,0.017,0,12.589,0.016,0,12.42,0.016,1,12.345,0.016,1,12.304,0.016,1,12.28,0.016,1,12.268,0.016,1,12.262,0.016,1,12.567,9999,32,12.146,9999,32,11.922,9999,32,11.757,9999,32,11.571,9999,32,11.398,9999,32,11.279,9999,32,11.192,9999,32,9.444,9999,32,9.027,9999,32,8.707,9999,32,8.44,9999,32,8.699,9999,32,7.877,9999,32,7.643,9999,32,7.414,9999,32,-62.4144061124688,95.6255027458735,0.6177574
1601241000013,0.5382126,-2.191948,0.0911,0.0899,0.0163,639.897,274.071,0000m016_ab41,13,0.9363,9999,1319878361,0.242,-98.6,1,12.795,0.023,12.451,0.025,12.396,0.028,4,-32,31,0,0,0,1,12.32,0.024,44.9,1.046,0,11,11,11.8,0,1870.3,41.641,18.029,3.102,0,12.324,0.008,0.261,12.325,0.017,0.005,0.074,55367.62636863,55368.61858328,55368.11344663,9999,9999,9999,9999,9999,0,0,129,10,0,0,0,0,0,12.365,0.026,42,1.013,0,11,11,11.85,0,714.31,17.02,44.342,3.866,0,12.424,0.023,0.319,12.366,0.058,0.018,0.172,55367.62636863,55368.61858328,55368.11344663,9999,9999,9999,9999,9999,0,0,1,10,0,0,0,0,0,11.694,0.24,4.5,0.7996,0,0,11,11.861,0,333.12,73.755,3321.458,29.953,0.67,11.682,9999,0.825,11.703,0.45,0.136,1.63,55367.62636863,55368.61858328,55368.11344663,9999,9999,9999,9999,9999,32,0,2,10,0,0,16,0,0,9.028,9999,0.1,0.9141,0,0,11,11.604,0,1.1665,18.812,1125.446,11.229,1.12,8.2,9999,0.576,9999,9999,9999,2.463,55367.62636863,55368.61858328,55368.11344663,9999,9999,9999,9999,9999,32,0,16,5,0,0,16,0,0,12.954,0.009,0,12.585,0.008,0,12.454,0.008,0,12.404,0.008,1,12.378,0.008,1,12.356,0.008,1,12.322,0.008,1,12.265,0.008,1,13.17,0.025,0,12.743,0.023,0,12.593,0.023,0,12.544,0.023,1,12.523,0.023,1,12.497,0.023,1,12.454,0.023,1,12.388,0.023,1,12.751,9999,32,12.507,9999,32,12.508,9999,32,12.369,9999,32,12.164,9999,32,11.983,9999,32,11.816,9999,32,11.665,9999,32,9.209,9999,32,8.776,9999,32,8.429,9999,32,8.136,9999,32,7.875,9999,32,7.639,9999,32,7.424,9999,32,7.225,9999,32,-62.4109832659131,95.5170745647311,0.4306706
1601241000014,0.5522879,-2.2181355,0.0941,0.0915,-0.0073,603.098,205.504,0000m016_ab41,14,0.9068,9999,1319878413,0.242,79.3,1,13.025,0.023,12.726,0.027,12.619,0.03,12,-29,-48,0,0,0,1,12.569,0.024,45.5,0.8442,0,10,10,10.508,0,1486.6,32.696,18.023,3.032,0,12.573,0.009,0.261,12.57,0.015,0.005,0.052,55367.62636863,55368.61858328,55368.10924564,9999,9999,9999,9999,9999,0,0,129,9,0,0,0,0,0,12.571,0.027,39.8,0.8041,0,10,10,10.817,0,591.07,14.836,44.31,3.907,0.112,12.599,0.022,0.319,12.571,0.049,0.016,0.158,55367.62636863,55368.61858328,55368.10924564,9999,9999,9999,9999,9999,0,0,1,9,0,0,0,0,0,11.793,9999,1.9,1.015,0,1,10,10.582,0,149.04,77.506,3320.673,30.663,0,11.728,9999,0.825,12.951,0.733,0.232,3.368,55367.62636863,55368.61858328,55368.10924564,9999,9999,9999,9999,9999,32,0,16,8,0,0,16,0,0,8.888,9999,0.1,0.9918,0,0,10,10.593,0,2.9315,20.603,1124.151,11.565,0,8.87,9999,0.576,9.649,1.741,0.551,2.369,55367.62636863,55368.61858328,55368.10924564,9999,9999,9999,9999,9999,32,0,16,6,0,0,16,0,0,13.195,0.01,0,12.834,0.009,0,12.711,0.009,0,12.666,0.009,0,12.645,0.009,0,12.632,0.009,0,12.623,0.009,0,12.617,0.009,0,13.344,0.024,0,12.918,0.022,0,12.76,0.022,0,12.706,0.022,0,12.687,0.022,0,12.684,0.022,0,12.691,0.022,0,12.698,0.022,0,12.952,9999,32,12.553,9999,32,12.693,9999,32,12.134,9999,32,11.935,9999,32,11.758,9999,32,11.594,9999,32,11.442,9999,32,9.028,9999,32,9.446,9999,32,8.134,9999,32,7.879,9999,32,7.7,9999,32,7.466,9999,32,7.251,9999,32,7.052,9999,32,-62.4406352116951,95.5215893352273,0.2999704
