galaxy_clean,galaxy_dec,galaxy_g,galaxy_petromag_r,galaxy_petromag_u,galaxy_petror90_g,galaxy_petror90_r,galaxy_petrorad_u,galaxy_r,galaxy_ra,galaxytag_dec,galaxytag_ra,galaxytag_type,galspecextra_bptclass,galspecextra_sfr_fib_p50,galspecextra_sfr_tot_p50,galspecextra_sfr_tot_p84,galspecextra_specsfr_tot_p50,galspecindx_d4000_n,galspecline_h_alpha_eqw,galspecline_h_alpha_flux,galspecline_h_alpha_flux_err,galspecline_h_beta_eqw,galspecline_h_beta_flux,galspecline_h_beta_flux_err,galspecline_nii_6584_flux,galspecline_oi_6300_flux_err,galspecline_oiii_5007_eqw,galspecline_oiii_5007_flux,galspecline_sii_6717_flux,galspecline_sii_6731_flux_err,photoobj_b,photoobj_camcol,photoobj_clean,photoobj_cmodelmag_g,photoobj_dec,photoobj_devrad_g,photoobj_devrad_r,photoobj_fibermag_r,photoobj_field,photoobj_flags,photoobj_fracdev_r,photoobj_g,photoobj_l,photoobj_mode,photoobj_petromag_r,photoobj_petromag_z,photoobj_petror50_g,photoobj_petror50_r,photoobj_petrorad_g,photoobj_petrorad_r,photoobj_r,photoobj_ra,photoobj_run,photoobj_type,photoobj_u,photoobjall_camcol,photoobjall_clean,photoobjall_dec,photoobjall_dered_r,photoobjall_devrad_r,photoobjall_devraderr_r,photoobjall_exprad_r,photoobjall_field,photoobjall_fracdev_r,photoobjall_mode,photoobjall_petromag_r,photoobjall_ra,photoobjall_run,photoobjall_type,photoobjall_u,phototag_clean,phototag_dec,phototag_mode,phototag_nchild,phototag_psfmag_r,phototag_ra,phototag_type,photoz_absmagr,photoz_photoerrorclass,photoz_nncount,photoz_nnvol,photoz_z,photoz_zerr,specphoto_dec,specphoto_mode,specphoto_modelmag_r,specphoto_petromag_r,specphoto_petromag_z,specphoto_ra,specphoto_type,specphoto_z,specphoto_zwarning,sppparams_fehadop,stellarmassfspsgranearlydust_logmass,stellarmassfspsgranearlydust_z,zoospec_elliptical,zoospec_p_cs,zoospec_p_cs_debiased,zoospec_p_el,zoospec_p_el_debiased,zoospec_spiral,zoospec_uncertai
1,0.977850094429658,18.26007,17.4567,20.23719,3.693627,3.756217,2.731735,17.35042,235.988101289467,0.977850094429658,235.988101289467,3,3,-1.378861,-1.080422,-0.3741027,-11.49959,1.744018,-4.09442,71.76346,3.032527,-0.8415371,19.94018,3.114002,45.16172,2.36611,-0.3442437,16.73917,29.36907,3.239554,41.0881804541522,6,1,18.28337,0.977850094429658,1.870153,1.74829,18.30714,617,35253360136208,0.775169,18.26007,8.01376787280603,1,17.4567,16.70155,1.40725,1.467682,2.971329,3.14425,17.35042,235.988101289467,752,3,20.07587,6,1,0.977850094429658,17.14398,1.74829,0.03875027,1.369316,617,0.775169,1,17.4567,235.988101289467,752,3,20.07587,1,0.977850094429658,1,0,18.18686,235.988101289467,3,-20.3316,1,98,0.198772,0.069888,0.0117,0.97784515,1,17.35042,17.4567,16.70155,235.98812,3,0.07756807,0,-9999,10.596349241748,0.07756807,0,0.114000000059605,0.115000002086163,0.685999989509583,0.685000002384186,0,1
1,-0.934072339163331,16.65827,16.03317,18.63897,9.02622,9.824658,14.65726,15.77131,217.313118838901,-0.934072339163331,217.313118838901,3,5,-1.846488,-1.318742,-0.4759846,-12.12202,1.861966,-1.220524,22.90711,2.744819,-0.7414715,10.22311,2.666802,26.93074,2.17165,-0.7876668,17.26724,10.5479,2.46362,53.3802605002124,1,1,16.80063,-0.934072339163331,7.783539,7.189835,17.97024,678,35253360136720,0.6136973,16.65827,346.869980203777,1,16.03317,15.33009,3.894255,3.879658,8.683681,8.735415,15.77131,217.313118838901,756,3,18.55262,1,1,-0.934072339163331,15.67075,7.189835,0.1040089,3.822973,678,0.6136973,1,16.03317,217.313118838901,756,3,18.55262,1,-0.934072339163331,1,0,17.93383,217.313118838901,3,-21.4655,1,100,0.117872,0.062976,0.012064,-0.93409071,1,15.77131,16.03317,15.33009,217.31311,3,0.06053828,0,-9999,10.8827763561247,0.06053828,0,0.428999990224838,0.653999984264374,0.547999978065491,0.31700000166893,0,1
1,0.84523670396654,18.15799,17.41634,19.59653,3.286312,3.498137,2.528557,17.43818,218.403319548685,0.84523670396654,218.403319548685,3,1,0.09081229,0.2130148,0.3579136,-10.04382,1.307484,-30.57576,480.9688,4.687019,-7.098805,108.4629,2.942734,179.2144,1.81053,-1.574418,22.02983,76.20008,2.335799,54.0603777733621,6,1,18.12496,0.84523670396654,2.123882,2.123929,18.31216,500,158398662443520,0.3106134,18.15799,350.204326806487,1,17.41634,16.77978,1.410813,1.429609,2.967304,2.997567,17.43818,218.403319548685,752,3,19.54406,6,1,0.84523670396654,17.35023,2.123929,0.05350525,1.531763,500,0.3106134,1,17.41634,218.403319548685,752,3,19.54406,1,0.84523670396654,1,0,18.41041,218.403319548685,3,-20.8449,1,100,0.80091,0.091569,0.020482,0.84525214,1,17.43818,17.41634,16.77978,218.40333,3,0.06982577,0,-9999,10.4949301401905,0.06982577,0,0.153999999165535,0.177000001072884,0.712000012397766,0.688000023365021,0,1
1,0.565391539428813,17.51791,17.30026,18.38861,7.673771,7.397829,6.905979,17.29324,217.317538870868,0.565391539428813,217.317538870868,3,1,-0.4219879,0.1628237,0.492517,-9.161368,1.090515,-77.26899,576.7901,4.947643,-15.84823,155.1169,2.831907,61.96024,1.405189,-36.26271,365.4705,94.28525,1.776573,54.5463260599186,5,1,17.43237,0.565391539428813,8.239836,8.931372,18.9761,493,35184640659472,0.2100098,17.51791,348.472614521414,1,17.30026,17.03653,2.798444,2.81113,6.108232,6.326126,17.29324,217.317538870868,752,3,18.45909,5,1,0.565391539428813,17.20243,8.931372,0.2572159,4.223704,493,0.2100098,1,17.30026,217.317538870868,752,3,18.45909,1,0.565391539428813,1,0,19.15495,217.317538870868,3,-19.9854,1,99,14.93219,0.057998,0.012315,0.56537777,1,17.29324,17.30026,17.03653,217.31755,3,0.05377915,0,-9999,9.87626614507269,0.05377915,0,0.944000005722046,0.987999975681305,0.0560000017285347,0.0120000001043081,1,0
1,-0.958205003979662,17.97332,17.22931,19.47116,4.729148,4.821434,11.89582,17.03719,147.870550878827,-0.958205003979662,147.870550878827,3,2,0.3686574,0.8582997,1.179109,-10.38782,1.328076,-20.49587,363.8727,6.933481,-3.708394,64.71584,3.562676,137.2156,3.666735,-0.7320743,13.92556,40.0334,3.719961,38.4421829408636,1,1,18.07433,-0.958205003979662,3.69599,3.083772,18.38416,214,69055152712,0.5571876,17.97332,238.443190437245,1,17.22931,16.45346,1.934621,1.843777,4.248506,4.112154,17.03719,147.870550878827,756,3,19.43351,1,1,-0.958205003979662,16.90271,3.083772,0.08301201,1.917436,214,0.5571876,1,17.22931,147.870550878827,756,3,19.43351,1,-0.958205003979662,1,0,18.46106,147.870550878827,3,-22.2137,1,99,0.205672,0.145047,0.020967,-0.95820669,1,17.03719,17.22931,16.45346,147.87054,3,0.1610499,0,-9999,11.5337154358069,0.1610499,0,0.185000002384186,0.270000010728836,0.685000002384186,0.592000007629395,0,1
0,0.880997016929125,17.08836,16.22278,18.86552,8.03551,7.826411,10.49174,16.14001,185.617139493496,0.880997016929125,185.617139493496,3,-1,-1.35942,-0.9841401,-0.1549551,-12.11582,1.888519,-0.8221483,26.80693,4.299362,-0.1032156,6.463087,3.388748,40.25739,3.127176,-0.8306848,17.55511,23.45048,3.493779,62.8473341746765,6,0,17.05152,0.880997016929125,3.126293,2.880716,17.52835,281,35287719874648,1.0,17.08836,286.897803250001,1,16.22278,15.48508,2.5397,2.434439,6.044591,5.749186,16.14001,185.617139493496,752,3,18.99645,6,0,0.880997016929125,16.08893,2.880716,0.04045393,1.89586,281,1.0,1,16.22278,185.617139493496,752,3,18.99645,0,0.880997016929125,1,0,17.26741,185.617139493496,3,-21.9098,1,99,0.02565,0.086916,0.007871,0.88098415,1,16.14001,16.22278,15.48508,185.61713,3,0.09810439,0,-9999,11.2869100687854,0.09810439,0,0.034000001847744,0.0719999969005585,0.930999994277954,0.890999972820282,0,1
1,-0.864566231948364,17.18917,16.91309,18.13228,6.123624,6.737226,5.855482,16.90491,186.859476633712,-0.864566231948364,186.859476633712,3,1,-0.7758416,-0.1347369,0.1426175,-9.420797,1.115398,-57.83257,545.1191,5.537175,-11.45691,157.2134,3.337777,63.01335,1.817732,-22.9254,321.9659,91.85787,2.214433,61.4177163834121,1,1,17.20637,-0.864566231948364,7.047159,8.09159,18.64214,474,158564622663752,0.01993444,17.18917,290.313154424993,1,16.91309,16.61993,2.672529,2.768347,5.73733,5.821559,16.90491,186.859476633712,756,3,18.09883,1,1,-0.864566231948364,16.85007,8.09159,0.1596358,3.723612,474,0.01993444,1,16.91309,186.859476633712,756,3,18.09883,1,-0.864566231948364,1,0,18.9105,186.859476633712,3,-19.4473,1,98,13.00202,0.04054,0.00683,-0.86452455,1,16.90491,16.91309,16.61993,186.85947,3,0.04050918,0,-9999,9.70299344993624,0.04050918,0,0.5,0.662999987602234,0.34400001168251,0.151999995112419,0,1
1,-0.887722770108331,19.10971,17.5116,20.48738,5.763518,8.392359,2.969317,17.47157,147.708575257485,-0.887722770108331,147.708575257485,3,-1,-1.472659,-0.9165085,-0.1291438,-12.75674,1.999344,-1.548187,67.28535,37.79817,-0.3457046,0.7678013,1.363722,18.74572,4.575145,-1.488744,16.08833,-0.6456651,6.059058,38.3538899351386,1,1,19.1571,-0.887722770108331,2.815649,2.842972,18.94664,213,35253360136464,1.0,19.10971,238.247998332109,1,17.5116,16.66778,2.269035,2.650038,6.31908,6.615196,17.47157,147.708575257485,756,3,21.91948,1,1,-0.887722770108331,17.3455,2.842972,0.1026253,1.50826,213,1.0,1,17.5116,147.708575257485,756,3,21.91948,1,-0.887722770108331,1,0,18.96631,147.708575257485,3,-23.5283,1,99,0.028057,0.271423,0.013509,-0.88775026,1,17.47157,17.5116,16.66778,147.70857,3,0.2714575,0,-9999,11.9237898395532,0.2714575,1,0.0579999983310699,0.0780000016093254,0.865000009536743,0.843999981880188,0,0
1,-0.95160808170345,17.5268,16.83133,19.47553,6.301192,6.42173,5.694654,16.65009,153.495400978348,-0.95160808170345,153.495400978348,3,-1,-2.300327,-1.7925,-1.02001,-11.92337,1.808061,-0.03191406,6.33479,2.108654,-0.5963539,3.724499,2.291712,5.889622,1.996034,-0.3286858,2.461673,1.613524,1.945507,42.8756573082036,1,1,17.58724,-0.95160808170345,4.249405,4.297833,18.16231,252,35255507615760,0.7974201,17.5268,243.008925930778,1,16.83133,16.09594,2.272935,2.267446,5.646542,5.489942,16.65009,153.495400978348,756,3,19.33566,1,1,-0.95160808170345,16.55808,4.297833,0.07802255,2.605959,252,0.7974201,1,16.83133,153.495400978348,756,3,19.33566,1,-0.95160808170345,1,0,18.22874,153.495400978348,3,-21.1931,1,99,0.157436,0.079417,0.015007,-0.95158972,1,16.65009,16.83133,16.09594,153.4954,3,0.0426452,0,-9999,10.2693340785007,0.0426452,0,0.476000010967255,0.630999982357025,0.523999989032745,0.368999987840652,0,1
1,-0.975160018048252,17.48923,16.57409,19.31077,6.226948,6.257414,8.266157,16.47622,147.486413711029,-0.975160018048252,147.486413711029,3,-1,-1.909679,-1.404898,-0.5829986,-12.34815,1.915629,-0.7929285,22.94886,4.689783,-0.3313397,6.464009,4.087992,26.23555,3.930097,-0.6682664,13.851,4.83443,4.734425,38.1232117274978,1,1,17.44235,-0.975160018048252,2.916801,2.670528,17.83072,211,68987912192,1.0,17.48923,238.169769093462,1,16.57409,15.76464,2.262643,2.114161,5.642569,5.244529,16.47622,147.486413711029,756,3,19.51375,1,1,-0.975160018048252,16.31845,2.670528,0.03831613,1.805309,211,1.0,1,16.57409,147.486413711029,756,3,19.51375,1,-0.975160018048252,1,0,17.87564,147.486413711029,3,-21.7899,1,98,0.018912,0.089734,0.009725,-0.97518784,1,16.47622,16.57409,15.76464,147.48643,3,0.0824445,0,-9999,11.1621252882513,0.0824445,0,0.333000004291534,0.488999992609024,0.666999995708466,0.510999977588654,1,0
