,galaxy_clean,galaxy_dec,galaxy_g,galaxy_petromag_r,galaxy_petromag_u,galaxy_petror90_g,galaxy_petror90_r,galaxy_petrorad_u,galaxy_r,galaxy_ra,galaxytag_dec,galaxytag_ra,galaxytag_type,galspecextra_bptclass,galspecextra_sfr_fib_p50,galspecextra_sfr_tot_p50,galspecextra_sfr_tot_p84,galspecextra_specsfr_tot_p50,galspecindx_d4000_n,galspecline_h_alpha_eqw,galspecline_h_alpha_flux,galspecline_h_alpha_flux_err,galspecline_h_beta_eqw,galspecline_h_beta_flux,galspecline_h_beta_flux_err,galspecline_nii_6584_flux,galspecline_oi_6300_flux_err,galspecline_oiii_5007_eqw,galspecline_oiii_5007_flux,galspecline_sii_6717_flux,galspecline_sii_6731_flux_err,photoobj_b,photoobj_camcol,photoobj_clean,photoobj_cmodelmag_g,photoobj_dec,photoobj_devrad_g,photoobj_devrad_r,photoobj_fibermag_r,photoobj_field,photoobj_flags,photoobj_fracdev_r,photoobj_g,photoobj_l,photoobj_mode,photoobj_petromag_r,photoobj_petromag_z,photoobj_petror50_g,photoobj_petror50_r,photoobj_petrorad_g,photoobj_petrorad_r,photoobj_r,photoobj_ra,photoobj_run,photoobj_type,photoobj_u,photoobjall_camcol,photoobjall_clean,photoobjall_dec,photoobjall_dered_r,photoobjall_devrad_r,photoobjall_devraderr_r,photoobjall_exprad_r,photoobjall_field,photoobjall_fracdev_r,photoobjall_mode,photoobjall_petromag_r,photoobjall_ra,photoobjall_run,photoobjall_type,photoobjall_u,phototag_clean,phototag_dec,phototag_mode,phototag_nchild,phototag_psfmag_r,phototag_ra,phototag_type,photoz_absmagr,photoz_photoerrorclass,photoz_nncount,photoz_nnvol,photoz_z,photoz_zerr,specphoto_dec,specphoto_mode,specphoto_modelmag_r,specphoto_petromag_r,specphoto_petromag_z,specphoto_ra,specphoto_type,specphoto_z,specphoto_zwarning,sppparams_fehadop,stellarmassfspsgranearlydust_logmass,stellarmassfspsgranearlydust_z,zoospec_elliptical,zoospec_p_cs,zoospec_p_cs_debiased,zoospec_p_el,zoospec_p_el_debiased,zoospec_spiral,zoospec_uncertai
galaxy_clean,1.0,-0.009705343069517695,-0.07111413635859751,-0.06135919386901696,-0.026597041514119294,-0.07849669197349475,-0.08232000897965634,0.02173506965202172,-0.07660165768409757,0.029881667388127635,-0.009705343069517695,0.029881667388127635,0.0,0.05257979666588866,-0.03242855463988312,-0.03246261164971318,-0.03242841495109192,-0.032524999323499254,0.08401620033268031,-0.008899340561634647,0.06718822264300522,0.06696284987930932,-0.00767978602485706,0.062038121561747844,0.08907459974059935,0.07786404012049994,0.06277938326463425,-0.012373846030453595,0.05354247901291,0.05854098934058434,0.01893786556943933,-0.005230613879010491,-0.013087909093935987,1.0,-0.06118584293879087,-0.009705343069517695,-0.18930954230219246,-0.1811614394039293,-0.18289340696916698,0.046275061808688164,-0.019677288646681345,0.17209838964761545,-0.07111413635859751,-0.00413150297943839,0.0,-0.06135919386901696,-0.09247325234929309,-0.10666237439413395,-0.11231146139036041,-0.07307755526673934,-0.10148641969881209,-0.07660165768409757,0.029881667388127635,0.007613759546051902,0.0,-0.025426306969350918,-0.013087909093935987,1.0,-0.009705343069517695,-0.07596339815848126,-0.1811614394039293,-0.21767176924350168,-0.13258257391089914,0.046275061808688164,0.17209838964761545,0.0,-0.06135919386901696,0.029881667388127635,0.007613759546051902,0.0,-0.025426306969350918,1.0,-0.009705343069517695,0.0,0.0,-0.19693882380802358,0.029881667388127635,0.0,-0.07470057258740792,0.06777741693329005,0.04867834015336422,-0.05424194603832488,0.048664278656656845,0.04866296942455361,-0.009704945754342591,0.0,-0.07660165768409757,-0.06135919386901696,-0.09247325234929309,0.029881649750860086,0.0,0.0013067252488399375,0.0,0.0,0.08181445391569059,0.0013067252488399375,0.02473488510744551,-0.09172621560022248,-0.09206432526111269,0.10633163071514527,0.11067003346276082,0.020604477824769513,-0.03423456338299401
galaxy_dec,-0.009705343069517695,1.0,0.06639678889901789,0.060919096020520216,0.08428895560358404,-0.014893142473625713,-0.03036639749899305,-0.002477674030606426,0.0516013007798199,0.6615778054583504,1.0,0.6615778054583504,0.0,0.04342481658955503,-0.07962302455956798,-0.07966905940059604,-0.07967272366182503,-0.07976028587576947,0.015521091927545624,0.07875259097312487,-0.06133329597703191,-0.00643578792122976,0.08833520840758965,-0.060728027151133006,-0.062495854411377075,-0.032883612267887594,-0.03736454827711273,0.06836761168790231,-0.07647455049269526,-0.05222598493267103,0.05016399187797654,0.17415516564951178,0.9974561115702069,-0.009705343069517695,0.057652262216483285,1.0,-0.060504511719349494,-0.07644391818743593,0.01482325410674321,0.20933238050992511,0.00789771513752633,0.06709297490805334,0.06639678889901789,-0.01937670179830672,0.0,0.060919096020520216,0.0007715887276149843,-0.021965194573355343,-0.033256202950257455,-0.007463318974130523,-0.039692784379693306,0.0516013007798199,0.6615778054583504,-0.9820144068587406,0.0,0.06462213612331122,0.9974561115702069,-0.009705343069517695,1.0,0.04965123964163498,-0.07644391818743593,-0.10280088836289641,-0.06553705311687469,0.20933238050992511,0.06709297490805334,0.0,0.060919096020520216,0.6615778054583504,-0.9820144068587406,0.0,0.06462213612331122,-0.009705343069517695,1.0,0.0,0.0,-0.08285525514731175,0.6615778054583504,0.0,-0.08756811366965929,0.055503580341878626,0.06011637367183764,-0.06209023130761139,0.0601350317329799,0.06012790094124738,0.9999999996139911,0.0,0.0516013007798199,0.060919096020520216,0.0007715887276149843,0.6615778380514707,0.0,0.1038343064845538,0.0,0.0,0.09206516414892335,0.1038343064845538,0.023323471786058557,-0.10095625892775394,-0.08183559319326342,0.11263040020464662,0.0860704383463914,-0.07734549658197885,0.05566032386831332
galaxy_g,-0.07111413635859751,0.06639678889901789,1.0,0.9285916683079128,0.7836401085406157,-0.6187792680188287,-0.5959608234438254,-0.12022831516571043,0.9266421399571336,0.07246569112158573,0.06639678889901789,0.07246569112158573,0.0,-0.15916441099059625,0.033856406065669004,0.03370756134155628,0.0337408947282102,0.03353158329564474,0.0795886679290618,0.09597161689697398,-0.2537177334450918,-0.15684291498489772,0.1068762420121434,-0.28263893817497365,-0.38828074486056363,-0.2603730689735545,-0.3280036392254707,0.05928602396808212,-0.19746615243067872,-0.29296610965568687,0.03278562759284225,0.002880103264240049,0.06612436188256975,-0.07111413635859751,0.9920443068255859,0.06639678889901789,-0.38347734809342665,-0.4067467552467227,0.6303559897068335,0.05952330333728114,0.11177158396972071,0.1220462855248043,1.0,-0.0008217710418354906,0.0,0.9285916683079128,0.7840660567494441,-0.6092917303702508,-0.6079549093554899,-0.5738717058640028,-0.581206746374993,0.9266421399571336,0.07246569112158573,-0.0559064795276584,0.0,0.8992212822528034,0.06612436188256975,-0.07111413635859751,0.06639678889901789,0.9252591159136627,-0.4067467552467227,-0.03873881513976523,-0.5645515751417581,0.05952330333728114,0.1220462855248043,0.0,0.9285916683079128,0.07246569112158573,-0.0559064795276584,0.0,0.8992212822528034,-0.07111413635859751,0.06639678889901789,0.0,0.0,0.5130983654670049,0.07246569112158573,0.0,-0.16568613503814347,-0.1393597605091445,-0.16791878020832082,0.16501152046105,-0.16772036317475833,-0.16777236347714342,0.066400869429434,0.0,0.9266421399571336,0.9285916683079128,0.7840660567494441,0.07246573165805506,0.0,0.6212186904039934,0.0,0.0,0.15436726923003977,0.6212186904039934,-0.14807545392718038,-0.19616957776093977,-0.08022710021642268,0.13929139009360317,-0.00749885989030421,-0.05468441076535418,0.14254813058008542
galaxy_petromag_r,-0.06135919386901696,0.060919096020520216,0.9285916683079128,1.0,0.6325713940363831,-0.6810250952981735,-0.680887664831245,-0.161274107613784,0.9909146401533053,0.04536930226846202,0.060919096020520216,0.04536930226846202,0.0,-0.10121146363964303,0.03912494576461436,0.03902317647573628,0.03897952556485599,0.039058367227674605,-0.15925021636408115,-0.11084605973340525,-0.12804149280447455,-0.2235943816487843,-0.09882871954530023,-0.15882218065288828,-0.4683560863642366,-0.18384554135045245,-0.47284961800118464,-0.0753981189095226,-0.09589604864988883,-0.16685199856832467,0.036513679715420785,0.004535079465933185,0.062132283031937074,-0.06135919386901696,0.9171615246070807,0.060919096020520216,-0.2780789166234156,-0.296479334264723,0.7581459293389095,0.02594757579985877,-0.00214924311308031,-0.08783839523550836,0.9285916683079128,0.0006301609745345147,0.0,1.0,0.8212673689778549,-0.597947040481636,-0.6111652093411222,-0.5924962323522074,-0.6137122387638053,0.9909146401533053,0.04536930226846202,-0.050805947154562985,0.0,0.7341610000630839,0.062132283031937074,-0.06135919386901696,0.060919096020520216,0.9897619682146238,-0.296479334264723,0.09312771228174141,-0.4987760566201456,0.02594757579985877,-0.08783839523550836,0.0,1.0,0.04536930226846202,-0.050805947154562985,0.0,0.7341610000630839,-0.06135919386901696,0.060919096020520216,0.0,0.0,0.6587477687690246,0.04536930226846202,0.0,0.07812994029371552,0.03477256425111214,-0.01404385335758945,0.010650097757226825,-0.013886313415946622,-0.013922974679378924,0.060923981988697654,0.0,0.9909146401533053,1.0,0.8212673689778549,0.04536933182343554,0.0,0.465934097976751,0.0,0.0,-0.06344799619718154,0.465934097976751,-0.26947785165661803,-0.06668007645361888,0.06625771596776643,-0.006430661606175568,-0.17710110125387177,-0.010515887689804269,0.1785398007009044
galaxy_petromag_u,-0.026597041514119294,0.08428895560358404,0.7836401085406157,0.6325713940363831,1.0,-0.33371602883599727,-0.31467256301952223,-0.12746034547783397,0.6211381227727403,0.05795177291534582,0.08428895560358404,0.05795177291534582,0.0,-0.2349718029332197,0.016441036512186216,0.016265286655062966,0.01640598561371561,0.015921858867332286,0.3758515031738894,0.32645085261702844,-0.35557469153929916,0.11967769377523403,0.33494595622496204,-0.3727881324449111,-0.24455678474870743,-0.3247405666558651,-0.14445120447013773,0.19004558905654212,-0.2490217289460642,-0.392878248536922,0.01622190235183147,-0.030373452495402683,0.08340748712905667,-0.026597041514119294,0.7932145101619259,0.08428895560358404,-0.41407536663515,-0.4356699698411706,0.33960173105828184,0.02945528664275248,0.171832551317013,0.35755642063861215,0.7836401085406157,-0.009132861719171851,0.0,0.6325713940363831,0.5750144321767914,-0.45570869180277507,-0.44953540361315,-0.46404777603492453,-0.3856454362943209,0.6211381227727403,0.05795177291534582,-0.07022197415065769,0.0,0.8852609758747182,0.08340748712905667,-0.026597041514119294,0.08428895560358404,0.6205024100778713,-0.4356699698411706,-0.16310868818713894,-0.533574165552566,0.02945528664275248,0.35755642063861215,0.0,0.6325713940363831,0.05795177291534582,-0.07022197415065769,0.0,0.8852609758747182,-0.026597041514119294,0.08428895560358404,0.0,0.0,0.230009290084599,0.05795177291534582,0.0,-0.3456813312470537,-0.13750464320344807,-0.2514344239859818,0.2377252758637527,-0.2512203868454437,-0.2512736774429886,0.08429185422968252,0.0,0.6211381227727403,0.6325713940363831,0.5750144321767914,0.057951837795981814,0.0,0.6124450872793824,0.0,0.0,0.33493012346208795,0.6124450872793824,0.01802860175500059,-0.3342106848583081,-0.2724870120614653,0.30306040508325366,0.2301247298972611,-0.15627568365730174,0.13070664182789182
galaxy_petror90_g,-0.07849669197349475,-0.014893142473625713,-0.6187792680188287,-0.6810250952981735,-0.33371602883599727,1.0,0.9832104116290936,0.20939481859488793,-0.6607291101824827,-0.029864847517527306,-0.014893142473625713,-0.029864847517527306,0.0,0.07478778770200889,-0.028808709275260042,-0.028648185850795677,-0.02862580257496368,-0.028669802719475473,0.09906413179999114,0.1386788590380122,-0.0953271954182113,0.17878749783333533,0.1110736006325584,-0.06203246887671367,0.19594093111432456,-0.06305706568161776,0.31039491469071356,0.06824187250048878,-0.031769199044775195,-0.04100595083107027,0.006488723051938554,-0.06256697380999086,-0.01315474498431053,-0.07849669197349475,-0.6320281870057871,-0.014893142473625713,0.5480197149663976,0.5436730329694395,-0.23858191224816377,-0.03470826944334595,-0.022767982612323535,-0.002454263794136021,-0.6187792680188287,-0.029332927246393515,0.0,-0.6810250952981735,-0.5274387202087091,0.888645807394845,0.8877978826847179,0.8423408001796485,0.9108841146254071,-0.6607291101824827,-0.029864847517527306,0.008548568265966535,0.0,-0.4664575275884739,-0.01315474498431053,-0.07849669197349475,-0.014893142473625713,-0.6624876360030338,0.5436730329694395,0.2653031128922229,0.692183382454621,-0.03470826944334595,-0.002454263794136021,0.0,-0.6810250952981735,-0.029864847517527306,0.008548568265966535,0.0,-0.4664575275884739,-0.07849669197349475,-0.014893142473625713,0.0,0.0,-0.16432774794812818,-0.029864847517527306,0.0,-0.051808301294137125,-0.008365366023688437,0.022674493802140996,-0.022850412915305127,0.022540469247959088,0.022560839047963223,-0.014897828079266479,0.0,-0.6607291101824827,-0.6810250952981735,-0.5274387202087091,-0.02986491553356243,0.0,-0.23781846393310993,0.0,0.0,0.053759396787611144,-0.23781846393310993,0.2753311411884786,0.18638876021828762,0.07841967808174038,-0.12194377148068834,0.011796859282458464,0.09087567551644274,-0.2552354087383854
galaxy_petror90_r,-0.08232000897965634,-0.03036639749899305,-0.5959608234438254,-0.680887664831245,-0.31467256301952223,0.9832104116290936,1.0,0.20775907758804904,-0.6592409685773261,-0.037201332062301924,-0.03036639749899305,-0.037201332062301924,0.0,0.06621090483323232,-0.027757968598227795,-0.02760063223616733,-0.02757495537074663,-0.02763446729423637,0.10627904016385965,0.1356677554354509,-0.09223622016792718,0.1682261405808979,0.11184701838302283,-0.059230968363477174,0.19777514341680763,-0.05944549502906467,0.3146971727538738,0.059177896025754906,-0.026660005844092616,-0.0414665958340902,-0.0006955273567502593,-0.04915920667478678,-0.029856456619668872,-0.08232000897965634,-0.5990402205229819,-0.03036639749899305,0.5290165191636165,0.5358551122208784,-0.23439690865817858,-0.031657712796459084,0.011801046207908018,0.009877710768601982,-0.5959608234438254,-0.027116352890802557,0.0,-0.680887664831245,-0.5054676287714777,0.8733615961151316,0.8973723249551996,0.8360044657230303,0.9259762989932004,-0.6592409685773261,-0.037201332062301924,0.02697599018194562,0.0,-0.4432362840187351,-0.029856456619668872,-0.08232000897965634,-0.03036639749899305,-0.6602034825055583,0.5358551122208784,0.2584503230971544,0.6823995312018387,-0.031657712796459084,0.009877710768601982,0.0,-0.680887664831245,-0.037201332062301924,0.02697599018194562,0.0,-0.4432362840187351,-0.08232000897965634,-0.03036639749899305,0.0,0.0,-0.16070236725565631,-0.037201332062301924,0.0,-0.07228965458547698,-0.06831578840873519,-0.028345466391369856,0.031156822687962903,-0.028474027720915996,-0.028456143006388757,-0.030371376509679634,0.0,-0.6592409685773261,-0.680887664831245,-0.5054676287714777,-0.03720139787378066,0.0,-0.2105796840589537,0.0,0.0,0.05945712299176354,-0.2105796840589537,0.30381935599704024,0.15973683103157277,0.04838511740260084,-0.09869095912031514,0.03841141817024646,0.07103875594143558,-0.25507340008441637
galaxy_petrorad_u,0.02173506965202172,-0.002477674030606426,-0.12022831516571043,-0.161274107613784,-0.12746034547783397,0.20939481859488793,0.20775907758804904,1.0,-0.1553209918653287,0.05377836614878276,-0.002477674030606426,0.05377836614878276,0.0,-0.009067844072661304,0.004802448412118211,0.0048355622025629845,0.004884262220306879,0.004753765452140787,0.13382081772904247,0.11729871005849797,-0.09159896272090112,0.0015973294108961574,0.10200138698217971,-0.07262625511579632,0.10007352753730227,-0.07873832770084313,0.11233095712675611,0.05916699377473308,-0.04725421470278433,-0.0826546111299083,-0.004709221081156547,0.0014940203871062327,-0.0002482500417856289,0.02173506965202172,-0.12545886806810402,-0.002477674030606426,0.06114804469620618,0.05853798332193243,-0.09995304993957715,0.06409981213141576,-0.02613703495951584,0.09247241655399253,-0.12022831516571043,-0.020292491298084324,0.0,-0.161274107613784,-0.15592355672993657,0.15333364234673186,0.1536130317382776,0.17494250485135207,0.16513576547010497,-0.1553209918653287,0.05377836614878276,-0.01363305232680027,0.0,-0.07038394181348803,-0.0002482500417856289,0.02173506965202172,-0.002477674030606426,-0.15630632632976954,0.05853798332193243,0.0035636178477865036,0.09303011922281984,0.06409981213141576,0.09247241655399253,0.0,-0.161274107613784,0.05377836614878276,-0.01363305232680027,0.0,-0.07038394181348803,0.02173506965202172,-0.002477674030606426,0.0,0.0,-0.08775100372036602,0.05377836614878276,0.0,-0.08442419500465063,0.015447495539179061,0.021674584623108846,-0.023092586532692323,0.021625241349458837,0.02162615249303864,-0.002477583674053316,0.0,-0.1553209918653287,-0.161274107613784,-0.15592355672993657,0.053778355956245256,0.0,-0.015531646874282285,0.0,0.0,0.09203188203068109,-0.015531646874282285,0.09015120895049612,-0.021005211246534605,-0.025300998780459015,0.06373257804918342,0.06702375849239883,0.0015089428770520164,-0.05790308881337304
galaxy_r,-0.07660165768409757,0.0516013007798199,0.9266421399571336,0.9909146401533053,0.6211381227727403,-0.6607291101824827,-0.6592409685773261,-0.1553209918653287,1.0,0.033217886337279116,0.0516013007798199,0.033217886337279116,0.0,-0.11165573831392403,0.041429440253086404,0.04132716791399024,0.04127567136218159,0.04139114571670276,-0.19156684731390614,-0.13941146154980594,-0.10743688293783991,-0.2148532580327351,-0.1263863627225768,-0.13889370822207459,-0.4637639751983073,-0.1686613224077153,-0.47115913019926386,-0.08459333397329527,-0.08861058130664967,-0.14458044554793448,0.030868785045208645,-0.0003453015680035365,0.052887367019156584,-0.07660165768409757,0.9072102281867161,0.0516013007798199,-0.2640172647811679,-0.280494835336436,0.7583473624568378,0.016309788434927506,0.008293979155503381,-0.12465000456332438,0.9266421399571336,-0.005053948480269047,0.0,0.9909146401533053,0.8278735861442045,-0.5794817682723649,-0.5908404478332033,-0.5791770602148725,-0.5920969202988524,1.0,0.033217886337279116,-0.040949023233354045,0.0,0.7230992549233486,0.052887367019156584,-0.07660165768409757,0.0516013007798199,0.9986541767443207,-0.280494835336436,0.10342691849673104,-0.4771292527550638,0.016309788434927506,-0.12465000456332438,0.0,0.9909146401533053,0.033217886337279116,-0.040949023233354045,0.0,0.7230992549233486,-0.07660165768409757,0.0516013007798199,0.0,0.0,0.6683618361694229,0.033217886337279116,0.0,0.10338784249870149,0.020566036069569953,-0.025569247755046196,0.022395732770398368,-0.025415482875131234,-0.025450573135663613,0.05160577921429022,0.0,1.0,0.9909146401533053,0.8278735861442045,0.03321791282361544,0.0,0.44874074358106986,0.0,0.0,-0.09093907341724394,0.44874074358106986,-0.2724999965703359,-0.053697037246413754,0.07359987581983506,-0.026648607339946825,-0.19054328976162613,0.0011174672241725456,0.1698633745760861
galaxy_ra,0.029881667388127635,0.6615778054583504,0.07246569112158573,0.04536930226846202,0.05795177291534582,-0.029864847517527306,-0.037201332062301924,0.05377836614878276,0.033217886337279116,1.0,0.6615778054583504,1.0,0.0,0.024418349133062116,-0.09168209599208176,-0.09173963376738047,-0.09173816083523392,-0.09183572657605825,0.042499706911961734,0.0626004022025972,-0.01624569468674184,-0.0003050194451475724,0.05502985942061161,-0.009518098580261751,0.011337827764716164,0.005268633571966136,0.017212609344828024,0.04142413843734337,-0.04372897606830813,-0.010758496800013392,0.037901094873803116,0.13190261534320108,0.6730395314779717,0.029881667388127635,0.06596911917884006,0.6615778054583504,-0.0599436201244016,-0.07297323689329793,-0.006108621254993229,0.8661217674708599,0.017888447953047837,0.07066747337365813,0.07246569112158573,-0.09814856628949747,0.0,0.04536930226846202,0.020082130460805057,-0.029878772289412055,-0.0408954845050085,-0.01652511444137927,-0.04940064236914472,0.033217886337279116,1.0,-0.7107041302451803,0.0,0.0700133464792094,0.6730395314779717,0.029881667388127635,0.6615778054583504,0.02264843915407536,-0.07297323689329793,-0.11470698217932664,-0.06078269501217786,0.8661217674708599,0.07066747337365813,0.0,0.04536930226846202,1.0,-0.7107041302451803,0.0,0.0700133464792094,0.029881667388127635,0.6615778054583504,0.0,0.0,-0.06457255670145232,1.0,0.0,-0.14378846135384915,0.014502920423454059,-0.005201258193978021,0.005452774348178502,-0.005218087877066019,-0.005227856779095688,0.6615785537659234,0.0,0.033217886337279116,0.04536930226846202,0.020082130460805057,0.9999999999998096,0.0,0.09728772277411778,0.0,0.0,0.10183657865739294,0.09728772277411778,0.012611191157384799,-0.051392732419045274,-0.04142130527613741,0.05732047265068314,0.04536038508806259,-0.006014154456414079,-0.0024429782817798817
